date,How to make tweets private
2011-01-01,7
2011-02-01,7
2011-03-01,6
2011-04-01,7
2011-05-01,23
2011-06-01,13
2011-07-01,20
2011-08-01,12
2011-09-01,6
2011-10-01,14
2011-11-01,17
2011-12-01,17
2012-01-01,21
2012-02-01,41
2012-03-01,33
2012-04-01,41
2012-05-01,27
2012-06-01,44
2012-07-01,33
2012-08-01,48
2012-09-01,61
2012-10-01,53
2012-11-01,35
2012-12-01,53
2013-01-01,63
2013-02-01,58
2013-03-01,60
2013-04-01,62
2013-05-01,55
2013-06-01,67
2013-07-01,92
2013-08-01,100
2013-09-01,72
2013-10-01,40
2013-11-01,48
2013-12-01,69
2014-01-01,83
2014-02-01,79
2014-03-01,50
2014-04-01,57
2014-05-01,50
2014-06-01,89
2014-07-01,62
2014-08-01,64
2014-09-01,64
2014-10-01,49
2014-11-01,80
2014-12-01,44
2015-01-01,48
2015-02-01,22
2015-03-01,20
2015-04-01,24
2015-05-01,32
2015-06-01,31
2015-07-01,22
2015-08-01,24
2015-09-01,23
2015-10-01,13
2015-11-01,22
2015-12-01,16
2016-01-01,25
2016-02-01,24
2016-03-01,20
2016-04-01,15
2016-05-01,11
2016-06-01,10
2016-07-01,5
2016-08-01,9
2016-09-01,9
2016-10-01,19
2016-11-01,11
2016-12-01,6
2017-01-01,13
