date,whatsapp and privacy,how to encrypt whatsapp messages
2011-01-01,7,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,7,0
2011-08-01,6,0
2011-09-01,6,0
2011-10-01,6,0
2011-11-01,6,0
2011-12-01,6,0
2012-01-01,6,0
2012-02-01,6,0
2012-03-01,5,0
2012-04-01,5,0
2012-05-01,8,0
2012-06-01,5,0
2012-07-01,5,0
2012-08-01,5,0
2012-09-01,5,0
2012-10-01,5,0
2012-11-01,9,0
2012-12-01,5,0
2013-01-01,9,0
2013-02-01,14,0
2013-03-01,4,0
2013-04-01,9,0
2013-05-01,8,0
2013-06-01,9,4
2013-07-01,8,4
2013-08-01,6,4
2013-09-01,8,4
2013-10-01,12,4
2013-11-01,8,4
2013-12-01,8,4
2014-01-01,13,4
2014-02-01,26,4
2014-03-01,13,4
2014-04-01,19,4
2014-05-01,21,8
2014-06-01,11,4
2014-07-01,14,4
2014-08-01,16,8
2014-09-01,14,6
2014-10-01,23,8
2014-11-01,19,4
2014-12-01,24,6
2015-01-01,25,4
2015-02-01,15,8
2015-03-01,28,7
2015-04-01,11,4
2015-05-01,16,7
2015-06-01,16,4
2015-07-01,23,4
2015-08-01,21,4
2015-09-01,17,3
2015-10-01,19,7
2015-11-01,21,3
2015-12-01,17,3
2016-01-01,28,3
2016-02-01,19,3
2016-03-01,10,6
2016-04-01,31,100
2016-05-01,38,15
2016-06-01,31,13
2016-07-01,17,16
2016-08-01,44,11
2016-09-01,82,11
2016-10-01,30,6
2016-11-01,36,6
2016-12-01,32,12
2017-01-01,26,8
