date,how to hack whatsapp chat history,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,6,0
2011-10-01,5,0
2011-11-01,5,0
2011-12-01,5,0
2012-01-01,5,0
2012-02-01,5,0
2012-03-01,5,0
2012-04-01,5,0
2012-05-01,9,0
2012-06-01,5,0
2012-07-01,5,5
2012-08-01,8,5
2012-09-01,8,5
2012-10-01,21,0
2012-11-01,6,0
2012-12-01,17,0
2013-01-01,8,0
2013-02-01,15,0
2013-03-01,13,0
2013-04-01,8,0
2013-05-01,12,0
2013-06-01,15,4
2013-07-01,5,4
2013-08-01,19,4
2013-09-01,13,4
2013-10-01,6,4
2013-11-01,7,4
2013-12-01,18,4
2014-01-01,17,4
2014-02-01,6,4
2014-03-01,15,3
2014-04-01,23,4
2014-05-01,19,7
2014-06-01,22,4
2014-07-01,18,4
2014-08-01,18,8
2014-09-01,45,6
2014-10-01,57,5
2014-11-01,25,4
2014-12-01,32,5
2015-01-01,61,3
2015-02-01,100,7
2015-03-01,55,5
2015-04-01,43,3
2015-05-01,46,5
2015-06-01,48,5
2015-07-01,51,3
2015-08-01,63,3
2015-09-01,35,3
2015-10-01,53,5
2015-11-01,37,5
2015-12-01,31,5
2016-01-01,52,3
2016-02-01,40,3
2016-03-01,37,6
2016-04-01,49,98
2016-05-01,44,15
2016-06-01,36,16
2016-07-01,40,12
2016-08-01,33,8
2016-09-01,40,7
2016-10-01,49,7
2016-11-01,54,5
2016-12-01,58,12
2017-01-01,67,11
