date,how to secure whatsapp,how to encrypt whatsapp messages
2011-01-01,6,0
2011-02-01,6,0
2011-03-01,6,0
2011-04-01,6,0
2011-05-01,6,0
2011-06-01,6,0
2011-07-01,12,0
2011-08-01,11,0
2011-09-01,6,0
2011-10-01,5,0
2011-11-01,5,0
2011-12-01,7,0
2012-01-01,10,0
2012-02-01,5,0
2012-03-01,5,0
2012-04-01,5,0
2012-05-01,7,0
2012-06-01,10,0
2012-07-01,14,5
2012-08-01,18,5
2012-09-01,7,5
2012-10-01,10,0
2012-11-01,13,0
2012-12-01,17,0
2013-01-01,12,0
2013-02-01,16,0
2013-03-01,11,0
2013-04-01,11,0
2013-05-01,9,0
2013-06-01,18,4
2013-07-01,17,4
2013-08-01,16,4
2013-09-01,18,4
2013-10-01,16,4
2013-11-01,15,4
2013-12-01,25,4
2014-01-01,11,4
2014-02-01,24,4
2014-03-01,18,3
2014-04-01,21,3
2014-05-01,21,7
2014-06-01,19,4
2014-07-01,33,4
2014-08-01,26,8
2014-09-01,29,6
2014-10-01,30,5
2014-11-01,37,4
2014-12-01,21,5
2015-01-01,36,3
2015-02-01,43,7
2015-03-01,34,5
2015-04-01,36,3
2015-05-01,20,5
2015-06-01,37,5
2015-07-01,34,3
2015-08-01,38,3
2015-09-01,34,3
2015-10-01,26,5
2015-11-01,35,5
2015-12-01,49,5
2016-01-01,39,3
2016-02-01,32,3
2016-03-01,38,5
2016-04-01,100,95
2016-05-01,62,14
2016-06-01,46,16
2016-07-01,57,11
2016-08-01,65,7
2016-09-01,59,7
2016-10-01,63,7
2016-11-01,55,5
2016-12-01,57,11
2017-01-01,78,11
