date,whatsapp setting download,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,14,0
2011-03-01,7,0
2011-04-01,7,0
2011-05-01,6,0
2011-06-01,10,0
2011-07-01,6,0
2011-08-01,6,0
2011-09-01,12,0
2011-10-01,23,0
2011-11-01,6,0
2011-12-01,14,0
2012-01-01,10,0
2012-02-01,16,0
2012-03-01,17,0
2012-04-01,21,0
2012-05-01,17,0
2012-06-01,15,0
2012-07-01,27,5
2012-08-01,27,5
2012-09-01,17,5
2012-10-01,27,0
2012-11-01,31,0
2012-12-01,56,0
2013-01-01,59,0
2013-02-01,56,0
2013-03-01,58,0
2013-04-01,41,0
2013-05-01,55,0
2013-06-01,64,4
2013-07-01,44,4
2013-08-01,68,4
2013-09-01,51,4
2013-10-01,61,4
2013-11-01,64,4
2013-12-01,52,4
2014-01-01,77,4
2014-02-01,67,4
2014-03-01,54,4
2014-04-01,62,6
2014-05-01,67,7
2014-06-01,58,8
2014-07-01,41,8
2014-08-01,59,8
2014-09-01,58,6
2014-10-01,57,4
2014-11-01,75,4
2014-12-01,72,6
2015-01-01,84,3
2015-02-01,62,3
2015-03-01,93,3
2015-04-01,66,3
2015-05-01,68,3
2015-06-01,61,5
2015-07-01,79,3
2015-08-01,69,3
2015-09-01,88,3
2015-10-01,67,6
2015-11-01,75,6
2015-12-01,100,5
2016-01-01,61,3
2016-02-01,81,3
2016-03-01,75,6
2016-04-01,67,98
2016-05-01,73,17
2016-06-01,72,21
2016-07-01,71,9
2016-08-01,64,7
2016-09-01,62,6
2016-10-01,75,8
2016-11-01,67,7
2016-12-01,68,10
2017-01-01,75,16
