date,how to hack whatsapp conversation,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,4,0
2011-11-01,4,0
2011-12-01,3,0
2012-01-01,3,0
2012-02-01,3,0
2012-03-01,3,0
2012-04-01,7,0
2012-05-01,6,0
2012-06-01,3,0
2012-07-01,3,3
2012-08-01,5,3
2012-09-01,3,3
2012-10-01,9,0
2012-11-01,12,0
2012-12-01,3,0
2013-01-01,5,0
2013-02-01,3,0
2013-03-01,8,0
2013-04-01,11,0
2013-05-01,6,0
2013-06-01,7,3
2013-07-01,10,3
2013-08-01,69,3
2013-09-01,12,3
2013-10-01,8,2
2013-11-01,9,3
2013-12-01,9,3
2014-01-01,14,3
2014-02-01,71,3
2014-03-01,31,2
2014-04-01,39,4
2014-05-01,24,5
2014-06-01,58,5
2014-07-01,61,5
2014-08-01,32,5
2014-09-01,23,4
2014-10-01,34,2
2014-11-01,100,2
2014-12-01,41,4
2015-01-01,43,2
2015-02-01,41,2
2015-03-01,38,2
2015-04-01,71,2
2015-05-01,41,2
2015-06-01,46,3
2015-07-01,38,2
2015-08-01,29,2
2015-09-01,24,2
2015-10-01,37,4
2015-11-01,39,4
2015-12-01,46,3
2016-01-01,29,2
2016-02-01,42,2
2016-03-01,25,4
2016-04-01,24,64
2016-05-01,23,11
2016-06-01,20,14
2016-07-01,24,6
2016-08-01,28,5
2016-09-01,29,4
2016-10-01,18,5
2016-11-01,17,5
2016-12-01,11,6
2017-01-01,12,10
