date,can skype video calls be recorded,google hangouts history,google hangouts notifications not working,google hangouts privacy,hangouts notifications not working,how to join a google hangout,how to use google hangouts on iphone,schedule a google hangout,skype security risks,Row Total
1/1/11,28,0,0,28,0,0,0,0,127,183
2/1/11,40,0,0,0,0,0,0,0,60,100
3/1/11,52,0,0,0,0,0,0,0,89,141
4/1/11,27,0,0,0,0,0,0,0,57,84
5/1/11,27,0,0,0,0,0,0,0,117,144
6/1/11,27,0,0,0,0,0,0,0,92,119
7/1/11,27,0,0,27,0,42,0,28,100,224
8/1/11,51,28,0,24,0,25,0,25,64,217
9/1/11,50,23,0,24,0,25,25,25,75,247
10/1/11,47,23,0,24,0,36,23,25,64,242
11/1/11,36,23,0,24,0,48,23,25,71,250
12/1/11,23,23,0,28,0,23,23,48,71,239
1/1/12,29,23,0,33,22,44,22,45,51,269
2/1/12,30,23,0,38,0,23,22,45,68,249
3/1/12,42,23,0,42,0,21,22,28,71,249
4/1/12,37,23,0,21,0,21,22,28,68,220
5/1/12,21,39,0,21,0,21,21,28,76,227
6/1/12,28,45,0,21,0,21,21,23,71,230
7/1/12,31,23,0,21,0,36,20,85,64,280
8/1/12,61,23,0,21,0,57,20,43,56,281
9/1/12,61,17,0,25,0,144,17,83,73,420
10/1/12,56,17,0,28,0,100,17,58,57,333
11/1/12,28,39,0,19,0,44,17,48,26,221
12/1/12,19,39,0,19,0,119,17,58,19,290
1/1/13,34,50,17,17,0,92,17,93,61,381
2/1/13,19,17,17,29,0,209,17,123,38,469
3/1/13,59,34,17,17,0,123,17,153,60,480
4/1/13,34,34,17,34,18,105,17,175,27,461
5/1/13,58,200,50,67,24,134,17,203,17,770
6/1/13,51,145,17,43,35,86,17,155,26,575
7/1/13,34,145,17,39,57,123,21,193,17,646
8/1/13,17,123,17,56,29,100,24,148,23,537
9/1/13,16,139,28,16,24,88,28,200,33,572
10/1/13,16,128,39,23,31,126,31,148,32,574
11/1/13,16,217,53,48,116,117,24,150,27,768
12/1/13,47,212,43,69,85,103,24,135,17,735
1/1/14,15,200,35,49,48,109,44,165,21,686
2/1/14,16,217,16,54,27,86,49,185,17,667
3/1/14,24,295,15,66,37,92,19,138,45,731
4/1/14,15,328,30,85,85,136,30,193,16,918
5/1/14,38,278,41,36,85,103,20,123,17,741
6/1/14,17,212,45,45,90,90,34,108,17,658
7/1/14,33,262,25,38,66,138,33,178,33,806
8/1/14,22,273,16,66,55,128,16,218,33,827
9/1/14,39,334,47,53,109,115,31,148,79,955
10/1/14,38,284,25,67,74,130,22,168,31,839
11/1/14,38,373,39,31,100,82,15,145,40,863
12/1/14,23,262,30,65,120,61,30,138,23,752
1/1/15,14,339,35,71,98,94,33,168,25,877
2/1/15,20,339,15,61,92,132,15,180,31,885
3/1/15,28,317,28,33,66,69,21,113,47,722
4/1/15,24,323,24,100,166,71,33,215,44,1000
5/1/15,28,339,37,51,133,103,14,135,28,868
6/1/15,42,339,33,33,61,100,14,153,14,789
7/1/15,14,400,21,63,46,57,28,155,28,812
8/1/15,14,362,14,28,70,80,32,155,33,788
9/1/15,27,428,41,34,72,90,13,113,55,873
10/1/15,26,362,26,52,40,82,21,193,35,837
11/1/15,53,378,44,33,140,67,26,138,45,924
12/1/15,20,356,67,40,218,67,40,128,18,954
1/1/16,19,384,51,38,196,84,21,208,26,1027
2/1/16,17,395,29,29,92,84,33,250,13,942
3/1/16,18,450,16,51,29,71,27,170,25,857
4/1/16,43,467,12,20,37,44,37,223,37,920
5/1/16,24,400,28,12,55,98,28,235,25,905
6/1/16,24,395,31,41,72,78,33,248,31,953
7/1/16,12,434,25,62,24,78,41,158,13,847
8/1/16,12,373,36,56,85,96,68,148,37,911
9/1/16,32,556,28,32,64,67,30,158,36,1003
10/1/16,23,389,68,42,161,38,64,130,12,927
11/1/16,11,395,34,57,153,50,27,165,12,904
12/1/16,27,473,38,34,72,50,23,115,12,844
1/1/17,18,439,21,29,57,69,25,150,12,820
