date,privacy setting on facebook,facebook app privacy policy
2011-01-01,37,0
2011-02-01,26,7
2011-03-01,43,12
2011-04-01,41,8
2011-05-01,32,8
2011-06-01,39,8
2011-07-01,47,17
2011-08-01,32,9
2011-09-01,58,7
2011-10-01,56,3
2011-11-01,53,3
2011-12-01,36,5
2012-01-01,43,5
2012-02-01,46,6
2012-03-01,46,8
2012-04-01,33,31
2012-05-01,51,11
2012-06-01,33,5
2012-07-01,42,13
2012-08-01,64,6
2012-09-01,100,8
2012-10-01,81,13
2012-11-01,56,15
2012-12-01,44,8
2013-01-01,44,10
2013-02-01,52,22
2013-03-01,61,12
2013-04-01,46,5
2013-05-01,54,10
2013-06-01,50,7
2013-07-01,53,11
2013-08-01,52,10
2013-09-01,41,5
2013-10-01,53,8
2013-11-01,54,7
2013-12-01,44,9
2014-01-01,42,9
2014-02-01,40,10
2014-03-01,31,6
2014-04-01,42,6
2014-05-01,29,7
2014-06-01,53,13
2014-07-01,40,9
2014-08-01,37,21
2014-09-01,35,17
2014-10-01,18,11
2014-11-01,43,5
2014-12-01,30,9
2015-01-01,42,11
2015-02-01,25,10
2015-03-01,41,10
2015-04-01,24,7
2015-05-01,28,9
2015-06-01,36,11
2015-07-01,28,8
2015-08-01,23,9
2015-09-01,34,9
2015-10-01,28,7
2015-11-01,25,7
2015-12-01,30,8
2016-01-01,27,6
2016-02-01,32,6
2016-03-01,26,10
2016-04-01,22,9
2016-05-01,28,10
2016-06-01,31,6
2016-07-01,35,11
2016-08-01,23,10
2016-09-01,36,6
2016-10-01,23,8
2016-11-01,26,5
2016-12-01,29,8
2017-01-01,36,12
