date,facebook policies,privacy policy facebook
2011-01-01,16,6
2011-02-01,17,7
2011-03-01,19,7
2011-04-01,18,9
2011-05-01,18,8
2011-06-01,14,7
2011-07-01,12,7
2011-08-01,14,8
2011-09-01,18,7
2011-10-01,17,6
2011-11-01,17,7
2011-12-01,12,5
2012-01-01,14,7
2012-02-01,18,12
2012-03-01,19,12
2012-04-01,18,11
2012-05-01,15,8
2012-06-01,12,12
2012-07-01,14,9
2012-08-01,15,6
2012-09-01,15,6
2012-10-01,17,10
2012-11-01,22,15
2012-12-01,14,14
2013-01-01,16,8
2013-02-01,15,10
2013-03-01,16,9
2013-04-01,17,7
2013-05-01,15,7
2013-06-01,12,6
2013-07-01,11,7
2013-08-01,13,5
2013-09-01,15,9
2013-10-01,16,29
2013-11-01,15,7
2013-12-01,11,7
2014-01-01,13,6
2014-02-01,14,7
2014-03-01,16,6
2014-04-01,14,7
2014-05-01,17,7
2014-06-01,13,6
2014-07-01,12,6
2014-08-01,13,11
2014-09-01,14,8
2014-10-01,14,7
2014-11-01,17,12
2014-12-01,13,15
2015-01-01,14,98
2015-02-01,13,10
2015-03-01,13,7
2015-04-01,16,8
2015-05-01,16,7
2015-06-01,10,6
2015-07-01,7,6
2015-08-01,9,6
2015-09-01,14,100
2015-10-01,12,15
2015-11-01,10,6
2015-12-01,10,6
2016-01-01,10,6
2016-02-01,12,5
2016-03-01,12,7
2016-04-01,12,7
2016-05-01,11,7
2016-06-01,11,41
2016-07-01,12,44
2016-08-01,9,8
2016-09-01,11,9
2016-10-01,12,54
2016-11-01,16,8
2016-12-01,8,6
2017-01-01,10,10
