date,best social media monitoring tools,computer and network surveillance,digimind social,digital stakeout,digitalstakeout,geofeedia pricing,government internet surveillance,government monitoring cell phones,government monitoring social media,government surveillance articles,government surveillance pros and cons,media sonar,social listening platforms,social listening tools comparison,social media and human right violation,social media and human rights violation,social media and human rights violations,social media monitoring companies,social media monitoring software,social media monitoring tools comparison,Row Total
1/1/11,0,0,37,0,0,0,38,0,37,0,0,245,75,0,0,0,0,50,152,38,672
2/1/11,60,39,35,0,40,0,60,0,40,40,0,334,79,0,0,0,0,60,120,39,946
3/1/11,71,38,35,71,72,0,60,36,35,36,0,278,48,0,0,0,0,71,169,38,1058
4/1/11,127,38,36,37,39,0,115,34,38,77,0,262,76,0,0,0,38,50,179,38,1184
5/1/11,84,0,36,37,36,0,83,34,54,36,36,278,37,0,0,0,34,54,169,54,1062
6/1/11,50,0,36,37,35,0,55,34,37,41,34,356,37,0,0,0,34,37,198,73,1094
7/1/11,49,0,34,34,35,0,55,34,44,47,34,189,36,0,0,0,34,55,244,48,972
8/1/11,103,0,34,34,35,0,46,34,50,51,34,345,46,0,0,34,34,85,174,57,1196
9/1/11,68,0,41,32,34,0,46,32,57,33,34,217,78,0,0,33,31,67,100,67,970
10/1/11,75,0,49,32,31,0,112,32,64,33,33,556,42,0,0,31,31,80,161,32,1394
11/1/11,54,0,56,32,33,0,118,30,48,31,33,373,53,0,0,31,31,117,140,32,1212
12/1/11,52,31,63,94,31,0,95,30,31,31,31,345,31,0,0,31,31,95,96,31,1149
1/1/12,78,35,30,29,43,0,98,30,29,58,30,384,29,0,0,0,29,59,196,39,1196
2/1/12,40,39,30,30,120,0,120,30,50,30,30,384,30,0,0,0,0,80,152,30,1195
3/1/12,57,43,29,28,29,0,106,29,29,29,58,434,43,0,0,0,0,44,125,57,1140
4/1/12,103,59,29,28,30,0,118,29,30,60,30,350,88,0,0,0,0,78,179,49,1260
5/1/12,83,29,0,28,55,0,75,27,36,41,27,345,41,27,0,0,0,73,147,27,1061
6/1/12,68,29,0,28,28,0,78,28,43,29,29,417,29,28,0,0,0,67,164,57,1122
7/1/12,75,28,0,28,28,0,66,28,85,29,38,384,28,28,0,0,0,94,152,56,1147
8/1/12,47,28,0,28,55,0,43,28,42,29,47,289,28,28,0,0,0,97,122,42,953
9/1/12,56,25,0,33,25,0,66,55,28,29,56,423,28,28,0,0,0,64,186,55,1157
10/1/12,76,25,0,38,25,0,78,38,25,26,0,345,51,25,0,0,0,100,154,38,1044
11/1/12,93,25,25,25,25,0,69,25,25,26,0,317,38,25,0,0,0,50,127,34,929
12/1/12,60,25,23,25,25,0,60,25,25,26,0,278,42,25,0,0,0,60,120,23,842
1/1/13,84,25,23,23,25,0,46,23,38,33,0,350,61,23,0,23,0,84,108,23,992
2/1/13,51,26,23,45,25,0,86,29,77,39,0,234,38,23,0,0,26,64,154,26,966
3/1/13,98,34,23,67,46,0,60,34,23,46,34,323,45,23,0,0,0,23,122,34,1035
4/1/13,59,23,23,35,23,0,118,46,31,62,24,256,39,23,0,0,0,62,71,92,987
5/1/13,56,22,23,23,23,0,98,57,34,34,24,306,67,22,0,0,0,53,98,23,963
6/1/13,70,46,23,23,22,0,286,69,100,47,35,367,23,23,0,0,0,31,125,23,1313
7/1/13,54,45,23,26,22,23,138,23,45,23,24,300,34,23,0,0,0,38,76,22,939
8/1/13,68,31,22,30,22,0,120,22,45,46,22,378,52,22,0,0,0,67,166,22,1135
9/1/13,45,31,43,33,22,0,75,29,22,44,81,350,22,22,0,0,0,59,113,44,1035
10/1/13,64,31,63,21,42,0,169,21,42,74,49,456,21,21,0,0,0,42,64,42,1222
11/1/13,64,21,43,21,22,0,209,32,57,57,129,362,32,21,0,21,0,75,86,42,1294
12/1/13,32,42,21,26,22,0,106,64,71,50,29,473,42,31,0,20,21,56,86,21,1213
1/1/14,113,20,20,30,30,0,80,20,33,67,40,395,54,40,0,20,0,80,81,30,1153
2/1/14,108,22,65,22,43,0,103,22,29,29,74,395,65,22,0,20,0,50,66,29,1164
3/1/14,40,19,45,58,20,0,132,20,20,130,40,428,26,20,0,20,0,66,113,29,1226
4/1/14,90,47,40,20,30,0,155,20,34,141,61,478,27,20,0,20,0,47,76,20,1326
5/1/14,61,61,34,21,41,0,123,20,34,75,42,345,34,20,20,20,0,68,61,33,1113
6/1/14,46,23,30,23,23,23,55,21,30,23,45,362,38,21,69,0,0,76,115,45,1068
7/1/14,66,22,44,22,23,0,66,21,44,23,22,256,22,22,0,0,0,52,74,44,823
8/1/14,45,22,44,67,23,0,66,22,22,23,22,317,44,22,0,0,0,59,91,33,922
9/1/14,28,21,63,32,22,0,43,21,35,29,85,239,35,21,0,0,0,35,100,37,846
10/1/14,54,20,27,20,41,0,95,20,47,51,42,367,61,21,0,0,0,54,96,40,1056
11/1/14,63,20,34,20,21,0,89,21,48,34,35,334,72,21,0,0,0,103,118,21,1054
12/1/14,47,20,20,20,41,0,75,20,20,47,48,339,68,19,0,0,0,54,88,27,953
1/1/15,38,19,51,25,31,19,52,19,38,39,77,239,19,19,0,0,0,70,64,19,838
2/1/15,47,20,34,41,31,28,109,24,41,48,56,284,48,31,0,0,0,109,88,19,1058
3/1/15,28,19,56,19,20,37,143,28,56,70,57,256,37,19,0,0,0,38,120,19,1022
4/1/15,51,19,44,38,20,19,146,33,49,64,84,289,51,19,0,19,0,63,115,28,1151
5/1/15,50,19,37,18,28,19,118,37,49,31,56,278,49,19,0,18,18,44,88,37,1013
6/1/15,57,19,44,48,25,18,46,19,38,19,26,212,32,29,0,18,18,76,115,38,897
7/1/15,63,19,69,44,29,18,78,17,38,19,20,212,38,28,0,18,19,56,57,18,860
8/1/15,56,23,27,18,37,18,75,17,37,37,47,273,31,18,19,18,19,68,118,18,974
9/1/15,42,27,27,17,18,17,66,17,18,37,67,234,60,18,17,17,0,61,79,36,875
10/1/15,46,26,63,17,17,17,118,17,17,47,24,234,52,17,17,17,0,63,93,17,919
11/1/15,47,41,47,59,41,18,212,18,29,30,65,189,53,18,17,17,0,70,125,23,1119
12/1/15,49,42,27,18,18,21,92,18,30,36,90,234,36,18,17,17,0,54,91,18,926
1/1/16,28,17,51,34,17,25,58,26,28,51,35,295,62,34,17,17,0,34,98,17,944
2/1/16,33,17,39,34,17,25,135,17,56,92,79,245,73,17,23,16,0,50,103,17,1088
3/1/16,63,31,57,24,16,16,69,16,21,53,86,228,31,23,28,16,0,47,96,16,937
4/1/16,55,16,60,24,17,16,109,16,25,55,83,206,66,24,33,16,16,88,159,24,1108
5/1/16,49,16,26,32,40,16,75,16,21,27,58,284,74,24,0,16,24,40,118,31,987
6/1/16,50,22,76,22,17,16,72,16,33,33,25,212,41,24,0,33,17,33,57,16,815
7/1/16,61,16,44,33,17,16,23,17,22,17,22,267,27,17,0,32,17,66,79,16,809
8/1/16,55,16,81,59,22,16,38,32,16,22,17,228,65,32,0,32,16,38,147,16,948
9/1/16,32,96,43,16,27,16,49,16,32,48,65,195,59,32,0,32,16,42,108,16,940
10/1/16,66,71,56,61,25,25,103,15,38,41,81,278,56,15,0,15,15,41,113,20,1135
11/1/16,51,31,41,41,46,15,180,15,20,51,118,245,54,15,118,92,66,67,144,15,1425
12/1/16,66,30,15,31,31,0,92,15,31,46,52,195,20,15,36,23,41,52,66,15,872
1/1/17,30,14,48,43,15,0,92,0,22,24,68,256,44,15,15,14,14,48,118,29,909
