date,cell phone hacking,delete hangout history
2011-01-01,45,0
2011-02-01,34,1
2011-03-01,43,0
2011-04-01,39,0
2011-05-01,37,0
2011-06-01,35,0
2011-07-01,100,0
2011-08-01,49,0
2011-09-01,69,0
2011-10-01,58,0
2011-11-01,40,0
2011-12-01,41,0
2012-01-01,44,0
2012-02-01,45,0
2012-03-01,44,0
2012-04-01,38,0
2012-05-01,39,0
2012-06-01,41,1
2012-07-01,39,0
2012-08-01,41,1
2012-09-01,38,0
2012-10-01,33,1
2012-11-01,34,1
2012-12-01,32,1
2013-01-01,33,1
2013-02-01,30,1
2013-03-01,30,1
2013-04-01,29,0
2013-05-01,36,2
2013-06-01,30,4
2013-07-01,38,7
2013-08-01,40,6
2013-09-01,32,6
2013-10-01,27,5
2013-11-01,33,4
2013-12-01,33,7
2014-01-01,32,6
2014-02-01,32,6
2014-03-01,30,6
2014-04-01,28,7
2014-05-01,34,6
2014-06-01,31,5
2014-07-01,27,7
2014-08-01,27,7
2014-09-01,37,7
2014-10-01,27,8
2014-11-01,33,8
2014-12-01,30,6
2015-01-01,31,6
2015-02-01,29,8
2015-03-01,25,5
2015-04-01,31,7
2015-05-01,31,7
2015-06-01,27,6
2015-07-01,32,7
2015-08-01,33,6
2015-09-01,27,8
2015-10-01,27,3
2015-11-01,23,5
2015-12-01,23,6
2016-01-01,27,6
2016-02-01,24,4
2016-03-01,26,3
2016-04-01,37,4
2016-05-01,27,4
2016-06-01,23,4
2016-07-01,24,3
2016-08-01,22,4
2016-09-01,27,3
2016-10-01,24,2
2016-11-01,22,3
2016-12-01,23,4
2017-01-01,27,2
