date,how to remove spyware from android phone,delete hangout history
2011-01-01,13,0
2011-02-01,12,0
2011-03-01,12,13
2011-04-01,13,13
2011-05-01,13,13
2011-06-01,12,13
2011-07-01,12,13
2011-08-01,12,0
2011-09-01,12,0
2011-10-01,10,0
2011-11-01,10,0
2011-12-01,10,0
2012-01-01,10,0
2012-02-01,11,0
2012-03-01,10,0
2012-04-01,11,0
2012-05-01,10,0
2012-06-01,10,10
2012-07-01,10,10
2012-08-01,20,10
2012-09-01,10,9
2012-10-01,13,9
2012-11-01,13,9
2012-12-01,27,18
2013-01-01,8,16
2013-02-01,8,12
2013-03-01,8,12
2013-04-01,25,8
2013-05-01,13,29
2013-06-01,8,49
2013-07-01,13,72
2013-08-01,16,66
2013-09-01,12,47
2013-10-01,11,67
2013-11-01,15,33
2013-12-01,11,63
2014-01-01,7,85
2014-02-01,10,77
2014-03-01,12,65
2014-04-01,14,72
2014-05-01,12,75
2014-06-01,12,70
2014-07-01,8,89
2014-08-01,8,65
2014-09-01,11,87
2014-10-01,21,88
2014-11-01,15,98
2014-12-01,7,75
2015-01-01,7,79
2015-02-01,33,100
2015-03-01,9,71
2015-04-01,10,95
2015-05-01,13,71
2015-06-01,7,61
2015-07-01,13,67
2015-08-01,13,94
2015-09-01,22,76
2015-10-01,9,39
2015-11-01,15,65
2015-12-01,25,68
2016-01-01,16,79
2016-02-01,12,60
2016-03-01,17,54
2016-04-01,15,52
2016-05-01,13,43
2016-06-01,14,43
2016-07-01,10,39
2016-08-01,14,44
2016-09-01,15,25
2016-10-01,14,34
2016-11-01,25,38
2016-12-01,16,40
2017-01-01,17,41
