date,how to remove spyware from phone,delete hangout history
2011-01-01,40,0
2011-02-01,21,0
2011-03-01,30,13
2011-04-01,23,13
2011-05-01,21,13
2011-06-01,26,13
2011-07-01,26,13
2011-08-01,24,0
2011-09-01,24,0
2011-10-01,26,0
2011-11-01,23,0
2011-12-01,22,0
2012-01-01,17,0
2012-02-01,25,0
2012-03-01,35,0
2012-04-01,18,0
2012-05-01,29,0
2012-06-01,30,10
2012-07-01,30,10
2012-08-01,25,10
2012-09-01,20,9
2012-10-01,18,9
2012-11-01,22,9
2012-12-01,27,18
2013-01-01,46,16
2013-02-01,12,12
2013-03-01,13,12
2013-04-01,22,8
2013-05-01,21,29
2013-06-01,14,49
2013-07-01,30,72
2013-08-01,16,66
2013-09-01,24,47
2013-10-01,33,67
2013-11-01,30,33
2013-12-01,23,63
2014-01-01,21,85
2014-02-01,44,77
2014-03-01,16,65
2014-04-01,19,72
2014-05-01,17,75
2014-06-01,24,70
2014-07-01,20,89
2014-08-01,16,65
2014-09-01,40,87
2014-10-01,31,88
2014-11-01,26,98
2014-12-01,19,75
2015-01-01,18,79
2015-02-01,32,100
2015-03-01,31,71
2015-04-01,18,95
2015-05-01,27,71
2015-06-01,25,61
2015-07-01,31,67
2015-08-01,31,94
2015-09-01,28,76
2015-10-01,29,39
2015-11-01,34,65
2015-12-01,32,68
2016-01-01,36,79
2016-02-01,26,60
2016-03-01,41,54
2016-04-01,21,52
2016-05-01,28,43
2016-06-01,27,43
2016-07-01,47,39
2016-08-01,42,44
2016-09-01,34,25
2016-10-01,23,34
2016-11-01,25,38
2016-12-01,45,40
2017-01-01,36,41
