date,phone tap detectors,delete hangout history
2011-01-01,26,0
2011-02-01,13,0
2011-03-01,13,12
2011-04-01,13,0
2011-05-01,12,0
2011-06-01,13,0
2011-07-01,13,0
2011-08-01,11,0
2011-09-01,11,0
2011-10-01,11,0
2011-11-01,11,0
2011-12-01,10,0
2012-01-01,10,0
2012-02-01,10,0
2012-03-01,10,0
2012-04-01,10,0
2012-05-01,10,0
2012-06-01,10,10
2012-07-01,10,10
2012-08-01,9,10
2012-09-01,9,9
2012-10-01,9,9
2012-11-01,9,9
2012-12-01,9,18
2013-01-01,9,16
2013-02-01,9,8
2013-03-01,8,8
2013-04-01,8,8
2013-05-01,8,27
2013-06-01,8,44
2013-07-01,8,63
2013-08-01,8,62
2013-09-01,7,46
2013-10-01,7,61
2013-11-01,7,37
2013-12-01,7,55
2014-01-01,14,76
2014-02-01,15,87
2014-03-01,7,64
2014-04-01,7,66
2014-05-01,7,91
2014-06-01,8,75
2014-07-01,8,80
2014-08-01,8,57
2014-09-01,7,80
2014-10-01,7,87
2014-11-01,7,71
2014-12-01,7,63
2015-01-01,7,76
2015-02-01,7,100
2015-03-01,7,65
2015-04-01,7,83
2015-05-01,7,65
2015-06-01,0,56
2015-07-01,0,82
2015-08-01,0,96
2015-09-01,0,73
2015-10-01,0,39
2015-11-01,12,62
2015-12-01,6,78
2016-01-01,9,85
2016-02-01,5,50
2016-03-01,5,60
2016-04-01,5,51
2016-05-01,5,44
2016-06-01,6,40
2016-07-01,6,40
2016-08-01,6,45
2016-09-01,6,28
2016-10-01,5,32
2016-11-01,5,37
2016-12-01,5,27
2017-01-01,5,37
