date,how to read text messages from another phone without installing software,delete hangout history
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,13
2011-04-01,0,13
2011-05-01,0,13
2011-06-01,0,13
2011-07-01,0,13
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,10
2012-07-01,0,10
2012-08-01,10,10
2012-09-01,0,9
2012-10-01,0,9
2012-11-01,0,9
2012-12-01,0,18
2013-01-01,0,16
2013-02-01,0,12
2013-03-01,0,12
2013-04-01,8,8
2013-05-01,0,29
2013-06-01,0,49
2013-07-01,0,72
2013-08-01,0,66
2013-09-01,0,47
2013-10-01,0,67
2013-11-01,0,33
2013-12-01,0,63
2014-01-01,7,85
2014-02-01,16,77
2014-03-01,14,65
2014-04-01,7,72
2014-05-01,7,75
2014-06-01,8,70
2014-07-01,12,89
2014-08-01,13,65
2014-09-01,7,87
2014-10-01,7,88
2014-11-01,11,98
2014-12-01,14,75
2015-01-01,10,79
2015-02-01,11,100
2015-03-01,9,71
2015-04-01,9,95
2015-05-01,10,71
2015-06-01,14,61
2015-07-01,16,67
2015-08-01,13,94
2015-09-01,6,76
2015-10-01,9,39
2015-11-01,9,65
2015-12-01,6,68
2016-01-01,16,79
2016-02-01,26,60
2016-03-01,7,54
2016-04-01,23,52
2016-05-01,21,43
2016-06-01,14,43
2016-07-01,20,39
2016-08-01,29,44
2016-09-01,19,25
2016-10-01,40,34
2016-11-01,38,38
2016-12-01,65,40
2017-01-01,48,41
