date,how can i tell if someone is spying on my phone,delete hangout history
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,11,0
2011-05-01,10,0
2011-06-01,10,0
2011-07-01,10,10
2011-08-01,10,0
2011-09-01,9,0
2011-10-01,9,0
2011-11-01,9,0
2011-12-01,9,0
2012-01-01,8,0
2012-02-01,8,0
2012-03-01,8,0
2012-04-01,8,0
2012-05-01,8,0
2012-06-01,10,8
2012-07-01,12,8
2012-08-01,8,8
2012-09-01,8,7
2012-10-01,7,7
2012-11-01,7,7
2012-12-01,7,10
2013-01-01,7,13
2013-02-01,7,13
2013-03-01,6,13
2013-04-01,7,19
2013-05-01,9,25
2013-06-01,11,42
2013-07-01,13,64
2013-08-01,6,57
2013-09-01,9,43
2013-10-01,12,44
2013-11-01,12,27
2013-12-01,12,48
2014-01-01,11,65
2014-02-01,6,55
2014-03-01,5,60
2014-04-01,11,54
2014-05-01,6,58
2014-06-01,6,45
2014-07-01,6,68
2014-08-01,6,59
2014-09-01,6,68
2014-10-01,9,79
2014-11-01,6,88
2014-12-01,9,58
2015-01-01,11,67
2015-02-01,12,78
2015-03-01,13,61
2015-04-01,8,97
2015-05-01,5,69
2015-06-01,8,40
2015-07-01,11,48
2015-08-01,8,100
2015-09-01,8,64
2015-10-01,25,32
2015-11-01,10,50
2015-12-01,5,48
2016-01-01,7,58
2016-02-01,14,52
2016-03-01,9,35
2016-04-01,7,46
2016-05-01,11,29
2016-06-01,9,37
2016-07-01,16,23
2016-08-01,9,39
2016-09-01,10,25
2016-10-01,11,30
2016-11-01,13,35
2016-12-01,9,43
2017-01-01,10,35
