date,anti spyware for iphone,delete hangout history
2011-01-01,13,0
2011-02-01,14,0
2011-03-01,13,13
2011-04-01,14,13
2011-05-01,17,13
2011-06-01,13,13
2011-07-01,13,13
2011-08-01,12,0
2011-09-01,24,0
2011-10-01,17,0
2011-11-01,11,0
2011-12-01,22,0
2012-01-01,31,0
2012-02-01,21,0
2012-03-01,15,0
2012-04-01,18,0
2012-05-01,25,0
2012-06-01,17,10
2012-07-01,17,10
2012-08-01,20,10
2012-09-01,36,9
2012-10-01,15,9
2012-11-01,18,9
2012-12-01,18,18
2013-01-01,22,16
2013-02-01,24,12
2013-03-01,40,12
2013-04-01,19,8
2013-05-01,24,29
2013-06-01,19,49
2013-07-01,27,72
2013-08-01,37,66
2013-09-01,26,47
2013-10-01,19,67
2013-11-01,20,33
2013-12-01,34,63
2014-01-01,19,85
2014-02-01,19,77
2014-03-01,14,65
2014-04-01,22,72
2014-05-01,14,75
2014-06-01,16,70
2014-07-01,18,89
2014-08-01,8,65
2014-09-01,27,87
2014-10-01,17,88
2014-11-01,15,98
2014-12-01,29,75
2015-01-01,30,79
2015-02-01,24,100
2015-03-01,22,71
2015-04-01,14,95
2015-05-01,18,71
2015-06-01,18,61
2015-07-01,20,67
2015-08-01,13,94
2015-09-01,32,76
2015-10-01,18,39
2015-11-01,11,65
2015-12-01,28,68
2016-01-01,24,79
2016-02-01,40,60
2016-03-01,35,54
2016-04-01,45,52
2016-05-01,36,43
2016-06-01,31,43
2016-07-01,22,39
2016-08-01,48,44
2016-09-01,36,25
2016-10-01,32,34
2016-11-01,47,38
2016-12-01,33,40
2017-01-01,46,41
