date,Delete Facebook page,how to delete a facebook account
2011-01-01,41,39
2011-02-01,42,30
2011-03-01,35,30
2011-04-01,37,27
2011-05-01,39,30
2011-06-01,40,32
2011-07-01,43,35
2011-08-01,51,41
2011-09-01,52,41
2011-10-01,52,44
2011-11-01,50,51
2011-12-01,51,45
2012-01-01,55,50
2012-02-01,53,52
2012-03-01,54,47
2012-04-01,51,34
2012-05-01,49,33
2012-06-01,67,35
2012-07-01,88,46
2012-08-01,100,44
2012-09-01,95,37
2012-10-01,85,34
2012-11-01,77,39
2012-12-01,82,41
2013-01-01,89,37
2013-02-01,96,33
2013-03-01,97,36
2013-04-01,82,38
2013-05-01,65,28
2013-06-01,69,28
2013-07-01,77,40
2013-08-01,69,35
2013-09-01,64,27
2013-10-01,64,27
2013-11-01,65,29
2013-12-01,64,38
2014-01-01,73,33
2014-02-01,71,25
2014-03-01,73,26
2014-04-01,71,31
2014-05-01,75,32
2014-06-01,70,28
2014-07-01,81,29
2014-08-01,74,31
2014-09-01,64,30
2014-10-01,60,29
2014-11-01,53,29
2014-12-01,52,29
2015-01-01,56,30
2015-02-01,55,30
2015-03-01,54,30
2015-04-01,55,33
2015-05-01,63,27
2015-06-01,56,25
2015-07-01,59,33
2015-08-01,56,35
2015-09-01,59,30
2015-10-01,54,23
2015-11-01,49,23
2015-12-01,49,26
2016-01-01,59,32
2016-02-01,62,31
2016-03-01,62,26
2016-04-01,62,27
2016-05-01,64,27
2016-06-01,72,37
2016-07-01,77,36
2016-08-01,70,29
2016-09-01,71,29
2016-10-01,68,29
2016-11-01,68,35
2016-12-01,69,31
2017-01-01,78,34
