date,how do you delete a facebook account permanently,how to delete a facebook account
2011-01-01,1,75
2011-02-01,2,63
2011-03-01,2,60
2011-04-01,1,55
2011-05-01,0,64
2011-06-01,0,65
2011-07-01,1,77
2011-08-01,1,90
2011-09-01,1,83
2011-10-01,0,85
2011-11-01,0,99
2011-12-01,1,97
2012-01-01,0,98
2012-02-01,1,100
2012-03-01,1,97
2012-04-01,1,68
2012-05-01,1,64
2012-06-01,1,75
2012-07-01,1,95
2012-08-01,1,88
2012-09-01,1,79
2012-10-01,1,64
2012-11-01,1,78
2012-12-01,1,81
2013-01-01,1,74
2013-02-01,0,68
2013-03-01,1,73
2013-04-01,1,73
2013-05-01,0,59
2013-06-01,0,64
2013-07-01,1,74
2013-08-01,1,71
2013-09-01,0,52
2013-10-01,0,54
2013-11-01,1,66
2013-12-01,1,75
2014-01-01,1,66
2014-02-01,1,54
2014-03-01,1,55
2014-04-01,0,61
2014-05-01,0,63
2014-06-01,0,57
2014-07-01,1,57
2014-08-01,1,63
2014-09-01,0,63
2014-10-01,1,56
2014-11-01,1,54
2014-12-01,1,58
2015-01-01,0,64
2015-02-01,1,65
2015-03-01,0,58
2015-04-01,0,69
2015-05-01,0,52
2015-06-01,1,53
2015-07-01,1,66
2015-08-01,1,74
2015-09-01,0,59
2015-10-01,0,50
2015-11-01,1,45
2015-12-01,1,53
2016-01-01,1,69
2016-02-01,0,62
2016-03-01,0,50
2016-04-01,1,53
2016-05-01,1,53
2016-06-01,0,74
2016-07-01,1,73
2016-08-01,1,59
2016-09-01,0,59
2016-10-01,2,58
2016-11-01,1,70
2016-12-01,1,62
2017-01-01,1,67
