date,remove Facebook account,how to delete a facebook account
2011-01-01,39,76
2011-02-01,35,58
2011-03-01,27,57
2011-04-01,32,51
2011-05-01,36,58
2011-06-01,38,62
2011-07-01,43,68
2011-08-01,57,79
2011-09-01,73,79
2011-10-01,63,84
2011-11-01,62,99
2011-12-01,79,86
2012-01-01,76,95
2012-02-01,76,100
2012-03-01,71,91
2012-04-01,65,65
2012-05-01,54,63
2012-06-01,61,68
2012-07-01,62,88
2012-08-01,69,85
2012-09-01,56,70
2012-10-01,50,65
2012-11-01,49,76
2012-12-01,52,78
2013-01-01,47,71
2013-02-01,49,63
2013-03-01,46,69
2013-04-01,44,72
2013-05-01,43,54
2013-06-01,45,54
2013-07-01,41,77
2013-08-01,43,67
2013-09-01,40,51
2013-10-01,40,51
2013-11-01,40,55
2013-12-01,40,73
2014-01-01,40,63
2014-02-01,43,47
2014-03-01,40,49
2014-04-01,38,59
2014-05-01,36,62
2014-06-01,42,54
2014-07-01,40,56
2014-08-01,44,60
2014-09-01,41,57
2014-10-01,40,56
2014-11-01,38,56
2014-12-01,38,55
2015-01-01,45,58
2015-02-01,39,57
2015-03-01,39,57
2015-04-01,40,63
2015-05-01,39,52
2015-06-01,41,49
2015-07-01,43,63
2015-08-01,40,68
2015-09-01,39,58
2015-10-01,40,45
2015-11-01,37,45
2015-12-01,36,51
2016-01-01,42,61
2016-02-01,41,60
2016-03-01,40,49
2016-04-01,43,51
2016-05-01,43,52
2016-06-01,43,71
2016-07-01,48,69
2016-08-01,51,56
2016-09-01,48,56
2016-10-01,48,56
2016-11-01,53,68
2016-12-01,54,60
2017-01-01,56,65
