date,deactivate facebook what happens,how to delete a facebook account
2011-01-01,20,75
2011-02-01,16,63
2011-03-01,17,60
2011-04-01,14,55
2011-05-01,15,64
2011-06-01,17,65
2011-07-01,21,77
2011-08-01,19,90
2011-09-01,19,83
2011-10-01,11,85
2011-11-01,13,99
2011-12-01,16,97
2012-01-01,13,98
2012-02-01,14,100
2012-03-01,12,97
2012-04-01,13,68
2012-05-01,13,64
2012-06-01,12,75
2012-07-01,12,95
2012-08-01,11,88
2012-09-01,9,79
2012-10-01,8,64
2012-11-01,8,78
2012-12-01,10,81
2013-01-01,12,74
2013-02-01,11,68
2013-03-01,9,73
2013-04-01,9,73
2013-05-01,10,59
2013-06-01,11,64
2013-07-01,12,74
2013-08-01,10,71
2013-09-01,10,52
2013-10-01,11,54
2013-11-01,10,66
2013-12-01,12,75
2014-01-01,14,66
2014-02-01,13,54
2014-03-01,11,55
2014-04-01,11,61
2014-05-01,12,63
2014-06-01,10,57
2014-07-01,11,57
2014-08-01,14,63
2014-09-01,10,63
2014-10-01,11,56
2014-11-01,11,54
2014-12-01,11,58
2015-01-01,12,64
2015-02-01,10,65
2015-03-01,10,58
2015-04-01,10,69
2015-05-01,11,52
2015-06-01,9,53
2015-07-01,12,66
2015-08-01,11,74
2015-09-01,10,59
2015-10-01,10,50
2015-11-01,10,45
2015-12-01,8,53
2016-01-01,12,69
2016-02-01,13,62
2016-03-01,8,50
2016-04-01,11,53
2016-05-01,10,53
2016-06-01,15,74
2016-07-01,15,73
2016-08-01,15,59
2016-09-01,14,59
2016-10-01,14,58
2016-11-01,14,70
2016-12-01,14,62
2017-01-01,14,67
