date,deactivate my facebook account,how to delete a facebook account
2011-01-01,20,74
2011-02-01,15,60
2011-03-01,14,56
2011-04-01,18,50
2011-05-01,18,58
2011-06-01,18,58
2011-07-01,23,71
2011-08-01,44,82
2011-09-01,37,79
2011-10-01,31,86
2011-11-01,35,100
2011-12-01,34,87
2012-01-01,37,93
2012-02-01,33,96
2012-03-01,32,89
2012-04-01,35,64
2012-05-01,34,62
2012-06-01,37,71
2012-07-01,37,92
2012-08-01,32,89
2012-09-01,33,73
2012-10-01,37,59
2012-11-01,32,74
2012-12-01,29,79
2013-01-01,29,70
2013-02-01,38,64
2013-03-01,32,67
2013-04-01,27,71
2013-05-01,30,54
2013-06-01,31,60
2013-07-01,34,70
2013-08-01,32,72
2013-09-01,29,48
2013-10-01,24,51
2013-11-01,28,57
2013-12-01,28,70
2014-01-01,29,60
2014-02-01,28,51
2014-03-01,31,47
2014-04-01,30,59
2014-05-01,27,63
2014-06-01,28,56
2014-07-01,26,58
2014-08-01,31,61
2014-09-01,27,59
2014-10-01,26,54
2014-11-01,23,54
2014-12-01,25,58
2015-01-01,27,58
2015-02-01,26,57
2015-03-01,24,58
2015-04-01,22,68
2015-05-01,24,50
2015-06-01,26,49
2015-07-01,30,65
2015-08-01,26,71
2015-09-01,24,56
2015-10-01,19,46
2015-11-01,27,44
2015-12-01,31,48
2016-01-01,28,63
2016-02-01,25,60
2016-03-01,21,47
2016-04-01,28,50
2016-05-01,31,51
2016-06-01,28,71
2016-07-01,28,69
2016-08-01,24,53
2016-09-01,26,56
2016-10-01,33,55
2016-11-01,32,69
2016-12-01,28,59
2017-01-01,32,64
