date,Delete Facebook,how to delete a facebook account
2011-01-01,66,3
2011-02-01,60,2
2011-03-01,57,2
2011-04-01,62,2
2011-05-01,63,2
2011-06-01,71,2
2011-07-01,75,2
2011-08-01,87,3
2011-09-01,86,3
2011-10-01,87,3
2011-11-01,90,3
2011-12-01,100,3
2012-01-01,99,3
2012-02-01,100,3
2012-03-01,98,3
2012-04-01,91,2
2012-05-01,85,2
2012-06-01,87,2
2012-07-01,86,3
2012-08-01,93,3
2012-09-01,91,2
2012-10-01,82,2
2012-11-01,76,3
2012-12-01,84,3
2013-01-01,83,2
2013-02-01,76,2
2013-03-01,71,2
2013-04-01,69,3
2013-05-01,65,2
2013-06-01,66,2
2013-07-01,66,3
2013-08-01,65,2
2013-09-01,63,2
2013-10-01,60,2
2013-11-01,59,2
2013-12-01,61,3
2014-01-01,65,2
2014-02-01,60,2
2014-03-01,59,2
2014-04-01,59,2
2014-05-01,59,2
2014-06-01,64,2
2014-07-01,65,2
2014-08-01,69,2
2014-09-01,62,2
2014-10-01,58,2
2014-11-01,56,2
2014-12-01,59,2
2015-01-01,60,2
2015-02-01,57,2
2015-03-01,55,2
2015-04-01,54,2
2015-05-01,56,2
2015-06-01,59,2
2015-07-01,63,2
2015-08-01,60,2
2015-09-01,57,2
2015-10-01,55,2
2015-11-01,55,2
2015-12-01,57,2
2016-01-01,59,2
2016-02-01,55,2
2016-03-01,56,2
2016-04-01,58,2
2016-05-01,58,2
2016-06-01,63,2
2016-07-01,64,2
2016-08-01,62,2
2016-09-01,61,2
2016-10-01,60,2
2016-11-01,62,2
2016-12-01,61,2
2017-01-01,66,2
