date,deleting fb account,how to delete a facebook account
2011-01-01,0,76
2011-02-01,0,58
2011-03-01,1,57
2011-04-01,1,51
2011-05-01,0,58
2011-06-01,1,62
2011-07-01,1,68
2011-08-01,1,79
2011-09-01,1,79
2011-10-01,0,84
2011-11-01,1,99
2011-12-01,1,86
2012-01-01,1,95
2012-02-01,1,100
2012-03-01,1,91
2012-04-01,1,65
2012-05-01,1,63
2012-06-01,1,68
2012-07-01,1,88
2012-08-01,1,85
2012-09-01,1,70
2012-10-01,1,65
2012-11-01,1,76
2012-12-01,1,78
2013-01-01,1,71
2013-02-01,1,63
2013-03-01,1,69
2013-04-01,1,72
2013-05-01,1,54
2013-06-01,1,54
2013-07-01,1,77
2013-08-01,2,67
2013-09-01,1,51
2013-10-01,2,51
2013-11-01,2,55
2013-12-01,1,73
2014-01-01,1,63
2014-02-01,1,47
2014-03-01,1,49
2014-04-01,1,59
2014-05-01,2,62
2014-06-01,1,54
2014-07-01,2,56
2014-08-01,1,60
2014-09-01,1,57
2014-10-01,1,56
2014-11-01,1,56
2014-12-01,2,55
2015-01-01,1,58
2015-02-01,2,57
2015-03-01,1,57
2015-04-01,1,63
2015-05-01,2,52
2015-06-01,2,49
2015-07-01,2,63
2015-08-01,2,68
2015-09-01,2,58
2015-10-01,2,45
2015-11-01,1,45
2015-12-01,2,51
2016-01-01,2,61
2016-02-01,2,60
2016-03-01,1,49
2016-04-01,2,51
2016-05-01,2,52
2016-06-01,2,71
2016-07-01,2,69
2016-08-01,2,56
2016-09-01,2,56
2016-10-01,2,56
2016-11-01,2,68
2016-12-01,2,60
2017-01-01,3,65
