date,how to delete facebook account,how to delete a facebook account
2011-01-01,85,16
2011-02-01,62,12
2011-03-01,42,12
2011-04-01,45,11
2011-05-01,49,12
2011-06-01,55,13
2011-07-01,59,14
2011-08-01,83,17
2011-09-01,85,17
2011-10-01,91,17
2011-11-01,100,21
2011-12-01,94,18
2012-01-01,94,20
2012-02-01,100,21
2012-03-01,94,19
2012-04-01,79,14
2012-05-01,77,13
2012-06-01,69,14
2012-07-01,72,18
2012-08-01,72,18
2012-09-01,68,15
2012-10-01,65,14
2012-11-01,65,16
2012-12-01,68,16
2013-01-01,62,15
2013-02-01,65,13
2013-03-01,62,14
2013-04-01,59,15
2013-05-01,54,11
2013-06-01,57,11
2013-07-01,67,16
2013-08-01,63,14
2013-09-01,52,11
2013-10-01,50,11
2013-11-01,54,11
2013-12-01,63,15
2014-01-01,56,13
2014-02-01,49,10
2014-03-01,51,10
2014-04-01,59,12
2014-05-01,57,13
2014-06-01,55,11
2014-07-01,56,12
2014-08-01,60,12
2014-09-01,55,12
2014-10-01,53,12
2014-11-01,52,12
2014-12-01,55,11
2015-01-01,57,12
2015-02-01,54,12
2015-03-01,53,12
2015-04-01,53,13
2015-05-01,52,11
2015-06-01,53,10
2015-07-01,58,13
2015-08-01,60,14
2015-09-01,57,12
2015-10-01,48,9
2015-11-01,47,9
2015-12-01,50,11
2016-01-01,58,13
2016-02-01,57,13
2016-03-01,50,10
2016-04-01,51,11
2016-05-01,52,11
2016-06-01,67,15
2016-07-01,71,14
2016-08-01,57,12
2016-09-01,55,12
2016-10-01,61,12
2016-11-01,75,14
2016-12-01,62,12
2017-01-01,64,14
