date,delete fb,how to delete a facebook account
2011-01-01,15,27
2011-02-01,15,23
2011-03-01,17,21
2011-04-01,19,18
2011-05-01,18,22
2011-06-01,19,22
2011-07-01,22,26
2011-08-01,25,30
2011-09-01,25,29
2011-10-01,25,31
2011-11-01,26,36
2011-12-01,30,33
2012-01-01,32,34
2012-02-01,30,34
2012-03-01,30,33
2012-04-01,34,24
2012-05-01,31,23
2012-06-01,35,26
2012-07-01,35,33
2012-08-01,39,32
2012-09-01,44,27
2012-10-01,44,22
2012-11-01,40,27
2012-12-01,46,29
2013-01-01,44,26
2013-02-01,43,24
2013-03-01,43,25
2013-04-01,44,26
2013-05-01,40,20
2013-06-01,40,22
2013-07-01,42,26
2013-08-01,42,26
2013-09-01,42,18
2013-10-01,44,19
2013-11-01,40,22
2013-12-01,46,26
2014-01-01,47,23
2014-02-01,48,18
2014-03-01,44,18
2014-04-01,47,22
2014-05-01,53,23
2014-06-01,55,20
2014-07-01,55,21
2014-08-01,60,22
2014-09-01,53,22
2014-10-01,50,20
2014-11-01,50,20
2014-12-01,53,21
2015-01-01,53,22
2015-02-01,55,22
2015-03-01,52,21
2015-04-01,56,24
2015-05-01,59,18
2015-06-01,65,18
2015-07-01,64,23
2015-08-01,64,26
2015-09-01,65,21
2015-10-01,60,17
2015-11-01,60,16
2015-12-01,61,18
2016-01-01,64,23
2016-02-01,64,22
2016-03-01,70,17
2016-04-01,73,19
2016-05-01,71,19
2016-06-01,77,25
2016-07-01,86,25
2016-08-01,90,20
2016-09-01,82,20
2016-10-01,76,20
2016-11-01,79,25
2016-12-01,98,22
2017-01-01,100,23
