date,how to delete facebook,how to delete a facebook account
2011-01-01,62,4
2011-02-01,56,3
2011-03-01,54,3
2011-04-01,59,3
2011-05-01,60,3
2011-06-01,66,4
2011-07-01,73,4
2011-08-01,86,5
2011-09-01,84,5
2011-10-01,87,5
2011-11-01,91,6
2011-12-01,100,5
2012-01-01,99,6
2012-02-01,99,6
2012-03-01,99,5
2012-04-01,92,4
2012-05-01,86,4
2012-06-01,85,4
2012-07-01,84,5
2012-08-01,90,5
2012-09-01,88,4
2012-10-01,79,4
2012-11-01,73,4
2012-12-01,80,5
2013-01-01,78,4
2013-02-01,71,4
2013-03-01,67,4
2013-04-01,65,4
2013-05-01,61,3
2013-06-01,60,3
2013-07-01,61,5
2013-08-01,63,4
2013-09-01,59,3
2013-10-01,55,3
2013-11-01,54,3
2013-12-01,56,4
2014-01-01,59,4
2014-02-01,54,3
2014-03-01,54,3
2014-04-01,53,4
2014-05-01,54,4
2014-06-01,57,3
2014-07-01,58,3
2014-08-01,64,4
2014-09-01,55,3
2014-10-01,52,3
2014-11-01,51,3
2014-12-01,53,3
2015-01-01,54,3
2015-02-01,51,3
2015-03-01,49,3
2015-04-01,49,4
2015-05-01,50,3
2015-06-01,55,3
2015-07-01,56,4
2015-08-01,54,4
2015-09-01,51,3
2015-10-01,49,3
2015-11-01,49,3
2015-12-01,50,3
2016-01-01,53,4
2016-02-01,48,4
2016-03-01,49,3
2016-04-01,52,3
2016-05-01,51,3
2016-06-01,55,4
2016-07-01,57,4
2016-08-01,54,3
2016-09-01,54,3
2016-10-01,53,3
2016-11-01,54,4
2016-12-01,52,4
2017-01-01,57,4
