date,how to permanently delete facebook account immediately,how to delete a facebook account
2011-01-01,0,74
2011-02-01,0,60
2011-03-01,1,56
2011-04-01,1,50
2011-05-01,0,58
2011-06-01,1,58
2011-07-01,2,71
2011-08-01,2,82
2011-09-01,2,79
2011-10-01,3,86
2011-11-01,3,100
2011-12-01,8,87
2012-01-01,8,93
2012-02-01,6,96
2012-03-01,4,89
2012-04-01,1,64
2012-05-01,2,62
2012-06-01,2,71
2012-07-01,1,92
2012-08-01,1,89
2012-09-01,1,73
2012-10-01,1,59
2012-11-01,2,74
2012-12-01,3,79
2013-01-01,1,70
2013-02-01,2,64
2013-03-01,2,67
2013-04-01,2,71
2013-05-01,4,54
2013-06-01,2,60
2013-07-01,1,70
2013-08-01,4,72
2013-09-01,2,48
2013-10-01,2,51
2013-11-01,1,57
2013-12-01,1,70
2014-01-01,1,60
2014-02-01,2,51
2014-03-01,2,47
2014-04-01,2,59
2014-05-01,2,63
2014-06-01,3,56
2014-07-01,3,58
2014-08-01,3,61
2014-09-01,2,59
2014-10-01,2,54
2014-11-01,1,54
2014-12-01,1,58
2015-01-01,2,58
2015-02-01,2,57
2015-03-01,6,58
2015-04-01,5,68
2015-05-01,3,50
2015-06-01,3,49
2015-07-01,3,65
2015-08-01,3,71
2015-09-01,3,56
2015-10-01,3,46
2015-11-01,3,44
2015-12-01,4,48
2016-01-01,3,63
2016-02-01,2,60
2016-03-01,3,47
2016-04-01,3,50
2016-05-01,2,51
2016-06-01,3,71
2016-07-01,4,69
2016-08-01,3,53
2016-09-01,4,56
2016-10-01,3,55
2016-11-01,2,69
2016-12-01,1,59
2017-01-01,2,64
