date,delete my facebook account,how to delete a facebook account
2011-01-01,56,46
2011-02-01,49,35
2011-03-01,46,32
2011-04-01,47,31
2011-05-01,52,34
2011-06-01,58,36
2011-07-01,65,43
2011-08-01,86,49
2011-09-01,90,47
2011-10-01,83,51
2011-11-01,93,57
2011-12-01,95,54
2012-01-01,100,56
2012-02-01,90,55
2012-03-01,87,56
2012-04-01,71,38
2012-05-01,69,37
2012-06-01,67,41
2012-07-01,62,54
2012-08-01,62,51
2012-09-01,68,41
2012-10-01,71,34
2012-11-01,64,46
2012-12-01,59,49
2013-01-01,57,42
2013-02-01,66,37
2013-03-01,64,43
2013-04-01,57,43
2013-05-01,52,33
2013-06-01,55,33
2013-07-01,67,41
2013-08-01,66,40
2013-09-01,51,29
2013-10-01,46,31
2013-11-01,54,35
2013-12-01,64,43
2014-01-01,59,38
2014-02-01,54,28
2014-03-01,50,29
2014-04-01,52,35
2014-05-01,60,36
2014-06-01,61,33
2014-07-01,60,31
2014-08-01,59,34
2014-09-01,60,36
2014-10-01,52,32
2014-11-01,53,32
2014-12-01,54,34
2015-01-01,59,36
2015-02-01,56,34
2015-03-01,54,34
2015-04-01,54,39
2015-05-01,55,31
2015-06-01,61,30
2015-07-01,61,38
2015-08-01,65,42
2015-09-01,58,33
2015-10-01,53,27
2015-11-01,53,26
2015-12-01,53,29
2016-01-01,60,37
2016-02-01,56,35
2016-03-01,54,29
2016-04-01,53,29
2016-05-01,55,30
2016-06-01,68,44
2016-07-01,67,42
2016-08-01,57,33
2016-09-01,62,33
2016-10-01,64,34
2016-11-01,73,41
2016-12-01,67,36
2017-01-01,69,37
