date,how can i delete my facebook account,how to delete a facebook account
2011-01-01,14,83
2011-02-01,12,58
2011-03-01,13,57
2011-04-01,13,57
2011-05-01,15,63
2011-06-01,20,66
2011-07-01,23,74
2011-08-01,27,89
2011-09-01,27,83
2011-10-01,28,88
2011-11-01,26,97
2011-12-01,30,95
2012-01-01,30,99
2012-02-01,35,98
2012-03-01,30,100
2012-04-01,24,66
2012-05-01,22,63
2012-06-01,21,72
2012-07-01,18,96
2012-08-01,21,89
2012-09-01,23,74
2012-10-01,16,61
2012-11-01,17,82
2012-12-01,17,86
2013-01-01,18,70
2013-02-01,22,67
2013-03-01,17,75
2013-04-01,17,73
2013-05-01,16,57
2013-06-01,17,61
2013-07-01,18,77
2013-08-01,16,69
2013-09-01,15,50
2013-10-01,13,55
2013-11-01,15,62
2013-12-01,14,74
2014-01-01,13,69
2014-02-01,13,49
2014-03-01,13,53
2014-04-01,12,59
2014-05-01,14,64
2014-06-01,15,59
2014-07-01,16,56
2014-08-01,14,58
2014-09-01,12,64
2014-10-01,11,56
2014-11-01,14,55
2014-12-01,17,60
2015-01-01,16,64
2015-02-01,14,63
2015-03-01,13,60
2015-04-01,14,69
2015-05-01,11,55
2015-06-01,13,52
2015-07-01,13,66
2015-08-01,17,76
2015-09-01,16,58
2015-10-01,13,49
2015-11-01,13,44
2015-12-01,12,52
2016-01-01,15,64
2016-02-01,14,62
2016-03-01,13,51
2016-04-01,14,50
2016-05-01,13,54
2016-06-01,16,79
2016-07-01,15,70
2016-08-01,14,58
2016-09-01,16,59
2016-10-01,14,60
2016-11-01,17,72
2016-12-01,15,62
2017-01-01,16,65
