date,remove my facebook account ,how to delete a facebook account
2011-01-01,7,81
2011-02-01,6,61
2011-03-01,9,56
2011-04-01,8,54
2011-05-01,8,60
2011-06-01,10,63
2011-07-01,9,74
2011-08-01,13,85
2011-09-01,17,82
2011-10-01,15,89
2011-11-01,17,100
2011-12-01,23,94
2012-01-01,21,98
2012-02-01,18,96
2012-03-01,15,98
2012-04-01,16,66
2012-05-01,16,64
2012-06-01,13,72
2012-07-01,16,95
2012-08-01,15,89
2012-09-01,15,72
2012-10-01,13,59
2012-11-01,14,80
2012-12-01,13,86
2013-01-01,13,73
2013-02-01,12,64
2013-03-01,13,74
2013-04-01,13,75
2013-05-01,13,57
2013-06-01,11,58
2013-07-01,10,72
2013-08-01,10,70
2013-09-01,11,51
2013-10-01,10,55
2013-11-01,10,61
2013-12-01,11,75
2014-01-01,10,66
2014-02-01,10,49
2014-03-01,10,50
2014-04-01,10,60
2014-05-01,8,64
2014-06-01,11,58
2014-07-01,11,54
2014-08-01,13,59
2014-09-01,10,62
2014-10-01,10,56
2014-11-01,8,56
2014-12-01,10,59
2015-01-01,10,62
2015-02-01,10,60
2015-03-01,9,60
2015-04-01,9,68
2015-05-01,9,55
2015-06-01,10,52
2015-07-01,10,66
2015-08-01,11,74
2015-09-01,11,58
2015-10-01,10,46
2015-11-01,9,46
2015-12-01,9,51
2016-01-01,11,64
2016-02-01,10,61
2016-03-01,11,51
2016-04-01,10,50
2016-05-01,10,52
2016-06-01,11,77
2016-07-01,11,73
2016-08-01,13,57
2016-09-01,13,58
2016-10-01,13,59
2016-11-01,14,71
2016-12-01,11,62
2017-01-01,13,64
