date,Deleting a facebook account,how to delete a facebook account
2011-01-01,4,81
2011-02-01,4,61
2011-03-01,5,56
2011-04-01,3,54
2011-05-01,3,60
2011-06-01,4,63
2011-07-01,5,74
2011-08-01,6,85
2011-09-01,5,82
2011-10-01,5,89
2011-11-01,5,100
2011-12-01,5,94
2012-01-01,6,98
2012-02-01,5,96
2012-03-01,5,98
2012-04-01,4,66
2012-05-01,4,64
2012-06-01,5,72
2012-07-01,5,95
2012-08-01,5,89
2012-09-01,5,72
2012-10-01,4,59
2012-11-01,3,80
2012-12-01,4,86
2013-01-01,4,73
2013-02-01,3,64
2013-03-01,4,74
2013-04-01,4,75
2013-05-01,3,57
2013-06-01,3,58
2013-07-01,4,72
2013-08-01,4,70
2013-09-01,4,51
2013-10-01,4,55
2013-11-01,4,61
2013-12-01,4,75
2014-01-01,4,66
2014-02-01,3,49
2014-03-01,3,50
2014-04-01,4,60
2014-05-01,4,64
2014-06-01,3,58
2014-07-01,3,54
2014-08-01,4,59
2014-09-01,3,62
2014-10-01,4,56
2014-11-01,3,56
2014-12-01,3,59
2015-01-01,3,62
2015-02-01,4,60
2015-03-01,3,60
2015-04-01,3,68
2015-05-01,3,55
2015-06-01,3,52
2015-07-01,3,66
2015-08-01,4,74
2015-09-01,4,58
2015-10-01,3,46
2015-11-01,3,46
2015-12-01,3,51
2016-01-01,3,64
2016-02-01,3,61
2016-03-01,3,51
2016-04-01,4,50
2016-05-01,3,52
2016-06-01,4,77
2016-07-01,4,73
2016-08-01,3,57
2016-09-01,3,58
2016-10-01,3,59
2016-11-01,3,71
2016-12-01,4,62
2017-01-01,3,64
