date,how do i delete my facebook account,how to delete a facebook account
2011-01-01,48,75
2011-02-01,39,59
2011-03-01,36,62
2011-04-01,32,52
2011-05-01,43,58
2011-06-01,44,62
2011-07-01,49,68
2011-08-01,64,81
2011-09-01,71,82
2011-10-01,65,84
2011-11-01,71,98
2011-12-01,76,85
2012-01-01,81,95
2012-02-01,76,100
2012-03-01,68,91
2012-04-01,49,67
2012-05-01,48,63
2012-06-01,40,68
2012-07-01,31,90
2012-08-01,27,90
2012-09-01,36,68
2012-10-01,48,62
2012-11-01,38,79
2012-12-01,27,79
2013-01-01,26,72
2013-02-01,44,61
2013-03-01,41,69
2013-04-01,24,72
2013-05-01,22,54
2013-06-01,20,56
2013-07-01,42,74
2013-08-01,39,70
2013-09-01,20,54
2013-10-01,16,52
2013-11-01,28,53
2013-12-01,38,76
2014-01-01,33,63
2014-02-01,19,51
2014-03-01,18,46
2014-04-01,27,59
2014-05-01,32,63
2014-06-01,27,56
2014-07-01,21,59
2014-08-01,25,61
2014-09-01,32,59
2014-10-01,27,56
2014-11-01,21,58
2014-12-01,24,54
2015-01-01,27,57
2015-02-01,27,58
2015-03-01,28,58
2015-04-01,18,66
2015-05-01,20,54
2015-06-01,23,49
2015-07-01,27,66
2015-08-01,31,66
2015-09-01,23,59
2015-10-01,20,45
2015-11-01,21,44
2015-12-01,23,50
2016-01-01,28,61
2016-02-01,26,61
2016-03-01,20,53
2016-04-01,17,50
2016-05-01,21,54
2016-06-01,31,73
2016-07-01,28,71
2016-08-01,21,56
2016-09-01,21,58
2016-10-01,25,57
2016-11-01,33,69
2016-12-01,23,59
2017-01-01,22,64
