date,help delete facebook account,how to delete a facebook account
2011-01-01,2,73
2011-02-01,2,56
2011-03-01,1,54
2011-04-01,1,51
2011-05-01,2,58
2011-06-01,2,62
2011-07-01,3,67
2011-08-01,2,78
2011-09-01,3,77
2011-10-01,2,82
2011-11-01,3,96
2011-12-01,3,85
2012-01-01,2,93
2012-02-01,2,100
2012-03-01,4,90
2012-04-01,3,62
2012-05-01,2,62
2012-06-01,2,68
2012-07-01,3,87
2012-08-01,3,82
2012-09-01,4,69
2012-10-01,2,67
2012-11-01,2,75
2012-12-01,3,76
2013-01-01,2,71
2013-02-01,2,62
2013-03-01,3,67
2013-04-01,3,73
2013-05-01,3,54
2013-06-01,3,53
2013-07-01,2,78
2013-08-01,3,64
2013-09-01,2,49
2013-10-01,4,51
2013-11-01,3,55
2013-12-01,2,72
2014-01-01,2,63
2014-02-01,2,45
2014-03-01,2,53
2014-04-01,2,58
2014-05-01,3,59
2014-06-01,3,51
2014-07-01,4,53
2014-08-01,4,60
2014-09-01,4,56
2014-10-01,4,57
2014-11-01,3,52
2014-12-01,4,54
2015-01-01,4,58
2015-02-01,5,58
2015-03-01,5,57
2015-04-01,4,63
2015-05-01,4,51
2015-06-01,4,48
2015-07-01,5,61
2015-08-01,5,69
2015-09-01,4,57
2015-10-01,5,48
2015-11-01,5,44
2015-12-01,5,50
2016-01-01,4,60
2016-02-01,7,59
2016-03-01,6,47
2016-04-01,7,50
2016-05-01,7,52
2016-06-01,6,70
2016-07-01,7,68
2016-08-01,8,55
2016-09-01,7,54
2016-10-01,7,54
2016-11-01,8,66
2016-12-01,7,59
2017-01-01,8,66
