date,delete fb account,how to delete a facebook account
2011-01-01,5,53
2011-02-01,6,41
2011-03-01,6,40
2011-04-01,6,36
2011-05-01,6,41
2011-06-01,7,44
2011-07-01,8,48
2011-08-01,10,56
2011-09-01,11,56
2011-10-01,9,59
2011-11-01,12,70
2011-12-01,13,61
2012-01-01,14,67
2012-02-01,14,71
2012-03-01,13,64
2012-04-01,14,46
2012-05-01,16,44
2012-06-01,16,48
2012-07-01,17,62
2012-08-01,17,60
2012-09-01,19,50
2012-10-01,20,46
2012-11-01,18,54
2012-12-01,20,55
2013-01-01,21,50
2013-02-01,22,44
2013-03-01,23,48
2013-04-01,25,51
2013-05-01,24,38
2013-06-01,29,38
2013-07-01,27,54
2013-08-01,27,47
2013-09-01,26,36
2013-10-01,27,36
2013-11-01,25,39
2013-12-01,31,52
2014-01-01,32,44
2014-02-01,31,33
2014-03-01,29,35
2014-04-01,33,42
2014-05-01,40,44
2014-06-01,40,38
2014-07-01,42,39
2014-08-01,41,42
2014-09-01,35,40
2014-10-01,36,40
2014-11-01,34,39
2014-12-01,37,39
2015-01-01,40,41
2015-02-01,40,41
2015-03-01,38,40
2015-04-01,48,45
2015-05-01,51,37
2015-06-01,54,34
2015-07-01,48,45
2015-08-01,50,48
2015-09-01,53,41
2015-10-01,45,31
2015-11-01,46,31
2015-12-01,50,36
2016-01-01,50,43
2016-02-01,51,43
2016-03-01,57,35
2016-04-01,59,36
2016-05-01,55,37
2016-06-01,63,50
2016-07-01,75,49
2016-08-01,79,39
2016-09-01,66,39
2016-10-01,60,40
2016-11-01,67,48
2016-12-01,95,42
2017-01-01,100,46
