date,remove my facebook account,how to delete a facebook account
2011-01-01,8,76
2011-02-01,7,58
2011-03-01,7,57
2011-04-01,7,51
2011-05-01,8,58
2011-06-01,9,62
2011-07-01,9,68
2011-08-01,13,79
2011-09-01,17,79
2011-10-01,15,84
2011-11-01,16,99
2011-12-01,21,86
2012-01-01,22,95
2012-02-01,18,100
2012-03-01,15,91
2012-04-01,14,65
2012-05-01,14,63
2012-06-01,13,68
2012-07-01,16,88
2012-08-01,16,85
2012-09-01,14,70
2012-10-01,12,65
2012-11-01,11,76
2012-12-01,14,78
2013-01-01,11,71
2013-02-01,13,63
2013-03-01,12,69
2013-04-01,12,72
2013-05-01,12,54
2013-06-01,11,54
2013-07-01,9,77
2013-08-01,10,67
2013-09-01,11,51
2013-10-01,9,51
2013-11-01,10,55
2013-12-01,10,73
2014-01-01,10,63
2014-02-01,9,47
2014-03-01,10,49
2014-04-01,9,59
2014-05-01,8,62
2014-06-01,9,54
2014-07-01,11,56
2014-08-01,13,60
2014-09-01,10,57
2014-10-01,9,56
2014-11-01,7,56
2014-12-01,11,55
2015-01-01,10,58
2015-02-01,11,57
2015-03-01,10,57
2015-04-01,10,63
2015-05-01,9,52
2015-06-01,10,49
2015-07-01,11,63
2015-08-01,10,68
2015-09-01,10,58
2015-10-01,9,45
2015-11-01,11,45
2015-12-01,11,51
2016-01-01,10,61
2016-02-01,10,60
2016-03-01,10,49
2016-04-01,12,51
2016-05-01,9,52
2016-06-01,11,71
2016-07-01,11,69
2016-08-01,11,56
2016-09-01,11,56
2016-10-01,12,56
2016-11-01,13,68
2016-12-01,12,60
2017-01-01,13,65
