date,How to encrypt emails
2011-01-01,61
2011-02-01,85
2011-03-01,29
2011-04-01,52
2011-05-01,48
2011-06-01,40
2011-07-01,49
2011-08-01,65
2011-09-01,73
2011-10-01,60
2011-11-01,43
2011-12-01,42
2012-01-01,55
2012-02-01,16
2012-03-01,46
2012-04-01,64
2012-05-01,30
2012-06-01,46
2012-07-01,54
2012-08-01,15
2012-09-01,30
2012-10-01,41
2012-11-01,55
2012-12-01,48
2013-01-01,81
2013-02-01,62
2013-03-01,31
2013-04-01,44
2013-05-01,79
2013-06-01,44
2013-07-01,67
2013-08-01,85
2013-09-01,48
2013-10-01,51
2013-11-01,46
2013-12-01,29
2014-01-01,59
2014-02-01,35
2014-03-01,63
2014-04-01,60
2014-05-01,100
2014-06-01,67
2014-07-01,60
2014-08-01,30
2014-09-01,51
2014-10-01,49
2014-11-01,62
2014-12-01,44
2015-01-01,31
2015-02-01,56
2015-03-01,30
2015-04-01,63
2015-05-01,30
2015-06-01,62
2015-07-01,41
2015-08-01,60
2015-09-01,98
2015-10-01,65
2015-11-01,77
2015-12-01,39
2016-01-01,41
2016-02-01,59
2016-03-01,81
2016-04-01,44
2016-05-01,60
2016-06-01,71
2016-07-01,94
2016-08-01,57
2016-09-01,43
2016-10-01,49
2016-11-01,79
2016-12-01,79
2017-01-01,98
