date,encrypting emails
2011-01-01,40
2011-02-01,77
2011-03-01,69
2011-04-01,74
2011-05-01,54
2011-06-01,78
2011-07-01,31
2011-08-01,77
2011-09-01,43
2011-10-01,68
2011-11-01,48
2011-12-01,40
2012-01-01,56
2012-02-01,45
2012-03-01,100
2012-04-01,38
2012-05-01,59
2012-06-01,49
2012-07-01,36
2012-08-01,45
2012-09-01,44
2012-10-01,81
2012-11-01,33
2012-12-01,57
2013-01-01,59
2013-02-01,76
2013-03-01,54
2013-04-01,59
2013-05-01,38
2013-06-01,69
2013-07-01,49
2013-08-01,62
2013-09-01,71
2013-10-01,40
2013-11-01,55
2013-12-01,32
2014-01-01,38
2014-02-01,33
2014-03-01,75
2014-04-01,58
2014-05-01,92
2014-06-01,39
2014-07-01,38
2014-08-01,38
2014-09-01,50
2014-10-01,47
2014-11-01,53
2014-12-01,48
2015-01-01,49
2015-02-01,35
2015-03-01,56
2015-04-01,50
2015-05-01,60
2015-06-01,29
2015-07-01,32
2015-08-01,44
2015-09-01,35
2015-10-01,44
2015-11-01,53
2015-12-01,42
2016-01-01,58
2016-02-01,47
2016-03-01,47
2016-04-01,49
2016-05-01,51
2016-06-01,46
2016-07-01,64
2016-08-01,55
2016-09-01,55
2016-10-01,39
2016-11-01,39
2016-12-01,26
2017-01-01,46
