date,instagram security
2011-01-01,0
2011-02-01,0
2011-03-01,1
2011-04-01,1
2011-05-01,1
2011-06-01,1
2011-07-01,1
2011-08-01,3
2011-09-01,2
2011-10-01,4
2011-11-01,3
2011-12-01,2
2012-01-01,6
2012-02-01,8
2012-03-01,8
2012-04-01,22
2012-05-01,15
2012-06-01,14
2012-07-01,19
2012-08-01,23
2012-09-01,20
2012-10-01,20
2012-11-01,26
2012-12-01,32
2013-01-01,35
2013-02-01,28
2013-03-01,32
2013-04-01,37
2013-05-01,32
2013-06-01,35
2013-07-01,45
2013-08-01,47
2013-09-01,45
2013-10-01,39
2013-11-01,45
2013-12-01,66
2014-01-01,55
2014-02-01,58
2014-03-01,63
2014-04-01,56
2014-05-01,76
2014-06-01,81
2014-07-01,79
2014-08-01,85
2014-09-01,61
2014-10-01,60
2014-11-01,76
2014-12-01,87
2015-01-01,84
2015-02-01,82
2015-03-01,84
2015-04-01,91
2015-05-01,86
2015-06-01,93
2015-07-01,100
2015-08-01,80
2015-09-01,79
2015-10-01,66
2015-11-01,66
2015-12-01,68
2016-01-01,74
2016-02-01,66
2016-03-01,83
2016-04-01,78
2016-05-01,81
2016-06-01,84
2016-07-01,83
2016-08-01,85
2016-09-01,78
2016-10-01,84
2016-11-01,81
2016-12-01,90
2017-01-01,95
