date,delete your account page,how to delete a instagram account
2011-01-01,8,0
2011-02-01,5,0
2011-03-01,5,0
2011-04-01,10,0
2011-05-01,12,0
2011-06-01,7,0
2011-07-01,10,0
2011-08-01,10,1
2011-09-01,10,1
2011-10-01,8,1
2011-11-01,8,3
2011-12-01,11,2
2012-01-01,11,2
2012-02-01,7,4
2012-03-01,6,3
2012-04-01,7,8
2012-05-01,11,11
2012-06-01,10,14
2012-07-01,9,17
2012-08-01,9,21
2012-09-01,12,21
2012-10-01,9,18
2012-11-01,7,18
2012-12-01,6,27
2013-01-01,13,40
2013-02-01,9,43
2013-03-01,12,29
2013-04-01,10,28
2013-05-01,11,29
2013-06-01,10,54
2013-07-01,17,42
2013-08-01,11,43
2013-09-01,12,29
2013-10-01,11,32
2013-11-01,8,28
2013-12-01,10,47
2014-01-01,11,45
2014-02-01,10,42
2014-03-01,12,41
2014-04-01,10,50
2014-05-01,9,41
2014-06-01,11,46
2014-07-01,6,56
2014-08-01,9,50
2014-09-01,10,42
2014-10-01,6,41
2014-11-01,9,50
2014-12-01,9,62
2015-01-01,11,68
2015-02-01,9,55
2015-03-01,10,62
2015-04-01,10,67
2015-05-01,10,54
2015-06-01,13,60
2015-07-01,12,87
2015-08-01,10,76
2015-09-01,16,67
2015-10-01,16,61
2015-11-01,15,58
2015-12-01,13,64
2016-01-01,15,87
2016-02-01,15,74
2016-03-01,18,93
2016-04-01,21,73
2016-05-01,25,78
2016-06-01,20,91
2016-07-01,22,100
2016-08-01,24,81
2016-09-01,14,63
2016-10-01,24,76
2016-11-01,36,84
2016-12-01,38,98
2017-01-01,33,100
