date,how to deactivate instagram on iphone,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,1
2011-09-01,1,1
2011-10-01,0,1
2011-11-01,0,3
2011-12-01,0,2
2012-01-01,0,2
2012-02-01,0,4
2012-03-01,0,3
2012-04-01,0,8
2012-05-01,2,11
2012-06-01,1,14
2012-07-01,1,17
2012-08-01,3,21
2012-09-01,2,21
2012-10-01,1,18
2012-11-01,3,18
2012-12-01,1,27
2013-01-01,1,40
2013-02-01,4,43
2013-03-01,2,29
2013-04-01,4,28
2013-05-01,2,29
2013-06-01,5,54
2013-07-01,3,42
2013-08-01,5,43
2013-09-01,5,29
2013-10-01,5,32
2013-11-01,5,28
2013-12-01,2,47
2014-01-01,2,45
2014-02-01,6,42
2014-03-01,4,41
2014-04-01,4,50
2014-05-01,3,41
2014-06-01,4,46
2014-07-01,3,56
2014-08-01,4,50
2014-09-01,1,42
2014-10-01,3,41
2014-11-01,2,50
2014-12-01,4,62
2015-01-01,3,68
2015-02-01,1,55
2015-03-01,2,62
2015-04-01,2,67
2015-05-01,3,54
2015-06-01,4,60
2015-07-01,2,87
2015-08-01,9,76
2015-09-01,4,67
2015-10-01,2,61
2015-11-01,2,58
2015-12-01,5,64
2016-01-01,4,87
2016-02-01,5,74
2016-03-01,12,93
2016-04-01,8,73
2016-05-01,2,78
2016-06-01,4,91
2016-07-01,4,100
2016-08-01,8,81
2016-09-01,16,63
2016-10-01,12,76
2016-11-01,7,84
2016-12-01,4,98
2017-01-01,3,100
