date,hack instagram app,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,1,0
2011-07-01,1,0
2011-08-01,1,1
2011-09-01,1,1
2011-10-01,1,1
2011-11-01,1,3
2011-12-01,1,2
2012-01-01,1,3
2012-02-01,1,3
2012-03-01,2,3
2012-04-01,2,8
2012-05-01,2,10
2012-06-01,5,14
2012-07-01,3,19
2012-08-01,4,24
2012-09-01,3,21
2012-10-01,4,22
2012-11-01,5,22
2012-12-01,8,28
2013-01-01,9,37
2013-02-01,9,40
2013-03-01,7,30
2013-04-01,9,34
2013-05-01,13,33
2013-06-01,16,52
2013-07-01,17,42
2013-08-01,26,46
2013-09-01,17,28
2013-10-01,19,32
2013-11-01,20,30
2013-12-01,18,46
2014-01-01,28,44
2014-02-01,29,41
2014-03-01,28,42
2014-04-01,31,50
2014-05-01,26,42
2014-06-01,30,50
2014-07-01,41,58
2014-08-01,42,48
2014-09-01,28,40
2014-10-01,29,39
2014-11-01,36,47
2014-12-01,42,62
2015-01-01,46,67
2015-02-01,42,56
2015-03-01,36,60
2015-04-01,44,70
2015-05-01,35,54
2015-06-01,39,60
2015-07-01,50,90
2015-08-01,54,82
2015-09-01,45,67
2015-10-01,41,63
2015-11-01,45,61
2015-12-01,52,66
2016-01-01,51,89
2016-02-01,52,72
2016-03-01,47,87
2016-04-01,46,71
2016-05-01,42,76
2016-06-01,54,95
2016-07-01,57,98
2016-08-01,58,81
2016-09-01,51,72
2016-10-01,50,79
2016-11-01,59,88
2016-12-01,65,100
2017-01-01,65,99
