date,instagram account,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,1,0
2011-08-01,1,0
2011-09-01,1,0
2011-10-01,1,0
2011-11-01,1,0
2011-12-01,2,0
2012-01-01,3,0
2012-02-01,3,0
2012-03-01,4,0
2012-04-01,11,0
2012-05-01,10,0
2012-06-01,13,0
2012-07-01,15,0
2012-08-01,16,0
2012-09-01,17,0
2012-10-01,18,0
2012-11-01,20,0
2012-12-01,28,0
2013-01-01,29,1
2013-02-01,32,1
2013-03-01,27,0
2013-04-01,28,1
2013-05-01,34,1
2013-06-01,38,1
2013-07-01,37,1
2013-08-01,38,1
2013-09-01,34,0
2013-10-01,35,1
2013-11-01,34,0
2013-12-01,35,1
2014-01-01,41,1
2014-02-01,42,1
2014-03-01,43,1
2014-04-01,44,1
2014-05-01,45,1
2014-06-01,50,1
2014-07-01,52,1
2014-08-01,49,1
2014-09-01,42,1
2014-10-01,41,1
2014-11-01,44,1
2014-12-01,51,1
2015-01-01,53,1
2015-02-01,45,1
2015-03-01,46,1
2015-04-01,50,1
2015-05-01,51,1
2015-06-01,53,1
2015-07-01,61,1
2015-08-01,62,1
2015-09-01,59,1
2015-10-01,56,1
2015-11-01,57,1
2015-12-01,64,1
2016-01-01,70,1
2016-02-01,75,1
2016-03-01,73,1
2016-04-01,69,1
2016-05-01,70,1
2016-06-01,83,2
2016-07-01,90,2
2016-08-01,82,1
2016-09-01,77,1
2016-10-01,84,1
2016-11-01,91,1
2016-12-01,89,2
2017-01-01,100,2
