date,gmail app security
2011-01-01,17
2011-02-01,15
2011-03-01,33
2011-04-01,21
2011-05-01,23
2011-06-01,14
2011-07-01,17
2011-08-01,22
2011-09-01,15
2011-10-01,18
2011-11-01,32
2011-12-01,29
2012-01-01,27
2012-02-01,22
2012-03-01,24
2012-04-01,27
2012-05-01,36
2012-06-01,26
2012-07-01,26
2012-08-01,36
2012-09-01,23
2012-10-01,37
2012-11-01,33
2012-12-01,26
2013-01-01,30
2013-02-01,40
2013-03-01,38
2013-04-01,34
2013-05-01,27
2013-06-01,47
2013-07-01,48
2013-08-01,25
2013-09-01,49
2013-10-01,37
2013-11-01,39
2013-12-01,54
2014-01-01,44
2014-02-01,50
2014-03-01,38
2014-04-01,41
2014-05-01,30
2014-06-01,31
2014-07-01,39
2014-08-01,53
2014-09-01,55
2014-10-01,54
2014-11-01,72
2014-12-01,68
2015-01-01,37
2015-02-01,61
2015-03-01,49
2015-04-01,55
2015-05-01,43
2015-06-01,60
2015-07-01,55
2015-08-01,70
2015-09-01,83
2015-10-01,73
2015-11-01,87
2015-12-01,76
2016-01-01,100
2016-02-01,67
2016-03-01,73
2016-04-01,84
2016-05-01,60
2016-06-01,74
2016-07-01,64
2016-08-01,85
2016-09-01,65
2016-10-01,67
2016-11-01,75
2016-12-01,85
2017-01-01,64
