date,skype sexting safe
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,45
2011-05-01,39
2011-06-01,39
2011-07-01,39
2011-08-01,39
2011-09-01,39
2011-10-01,38
2011-11-01,38
2011-12-01,34
2012-01-01,34
2012-02-01,34
2012-03-01,34
2012-04-01,34
2012-05-01,33
2012-06-01,33
2012-07-01,33
2012-08-01,33
2012-09-01,27
2012-10-01,27
2012-11-01,27
2012-12-01,27
2013-01-01,27
2013-02-01,30
2013-03-01,26
2013-04-01,36
2013-05-01,45
2013-06-01,54
2013-07-01,26
2013-08-01,26
2013-09-01,26
2013-10-01,36
2013-11-01,37
2013-12-01,37
2014-01-01,23
2014-02-01,25
2014-03-01,34
2014-04-01,24
2014-05-01,29
2014-06-01,35
2014-07-01,51
2014-08-01,51
2014-09-01,37
2014-10-01,23
2014-11-01,32
2014-12-01,47
2015-01-01,52
2015-02-01,24
2015-03-01,51
2015-04-01,22
2015-05-01,22
2015-06-01,22
2015-07-01,22
2015-08-01,27
2015-09-01,32
2015-10-01,33
2015-11-01,31
2015-12-01,98
2016-01-01,60
2016-02-01,39
2016-03-01,74
2016-04-01,82
2016-05-01,67
2016-06-01,89
2016-07-01,45
2016-08-01,100
2016-09-01,74
2016-10-01,41
2016-11-01,78
2016-12-01,59
2017-01-01,62
