date,WhatsApp encrypt messages,whatsapp security settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,5,0
2012-01-01,0,0
2012-02-01,0,5
2012-03-01,0,0
2012-04-01,0,7
2012-05-01,0,4
2012-06-01,5,5
2012-07-01,0,0
2012-08-01,0,9
2012-09-01,0,4
2012-10-01,0,10
2012-11-01,4,4
2012-12-01,4,6
2013-01-01,4,5
2013-02-01,4,4
2013-03-01,4,7
2013-04-01,4,5
2013-05-01,4,5
2013-06-01,4,4
2013-07-01,7,4
2013-08-01,5,7
2013-09-01,3,6
2013-10-01,3,7
2013-11-01,3,6
2013-12-01,6,4
2014-01-01,0,8
2014-02-01,6,13
2014-03-01,3,6
2014-04-01,5,10
2014-05-01,10,9
2014-06-01,0,5
2014-07-01,7,15
2014-08-01,5,5
2014-09-01,8,3
2014-10-01,3,7
2014-11-01,5,9
2014-12-01,4,8
2015-01-01,4,7
2015-02-01,6,12
2015-03-01,5,19
2015-04-01,3,12
2015-05-01,7,5
2015-06-01,7,7
2015-07-01,6,13
2015-08-01,6,6
2015-09-01,4,9
2015-10-01,5,5
2015-11-01,7,9
2015-12-01,11,9
2016-01-01,5,9
2016-02-01,3,8
2016-03-01,7,9
2016-04-01,100,44
2016-05-01,17,13
2016-06-01,17,13
2016-07-01,15,8
2016-08-01,8,10
2016-09-01,8,28
2016-10-01,11,14
2016-11-01,12,14
2016-12-01,14,11
2017-01-01,10,14
