date,WhatsApp encrypt,whatsapp security settings
2011-01-01,2,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,2,0
2011-05-01,2,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,2,2
2011-09-01,2,0
2011-10-01,2,0
2011-11-01,2,0
2011-12-01,2,0
2012-01-01,3,0
2012-02-01,2,2
2012-03-01,0,1
2012-04-01,2,3
2012-05-01,1,3
2012-06-01,2,1
2012-07-01,5,0
2012-08-01,3,0
2012-09-01,2,1
2012-10-01,2,1
2012-11-01,5,0
2012-12-01,4,1
2013-01-01,3,2
2013-02-01,5,1
2013-03-01,2,2
2013-04-01,2,2
2013-05-01,2,1
2013-06-01,2,2
2013-07-01,5,1
2013-08-01,3,1
2013-09-01,5,3
2013-10-01,6,2
2013-11-01,4,0
2013-12-01,5,2
2014-01-01,4,2
2014-02-01,7,3
2014-03-01,5,4
2014-04-01,4,3
2014-05-01,5,3
2014-06-01,5,4
2014-07-01,6,4
2014-08-01,7,3
2014-09-01,7,3
2014-10-01,5,4
2014-11-01,8,3
2014-12-01,5,2
2015-01-01,5,1
2015-02-01,5,2
2015-03-01,7,6
2015-04-01,7,5
2015-05-01,8,1
2015-06-01,8,2
2015-07-01,6,3
2015-08-01,8,2
2015-09-01,8,3
2015-10-01,8,1
2015-11-01,10,3
2015-12-01,10,3
2016-01-01,9,3
2016-02-01,11,4
2016-03-01,11,3
2016-04-01,100,13
2016-05-01,24,3
2016-06-01,23,4
2016-07-01,22,5
2016-08-01,16,4
2016-09-01,13,11
2016-10-01,14,5
2016-11-01,15,3
2016-12-01,16,4
2017-01-01,16,4
