date,how to decrypt android phone,encrypted phone calls
2011-01-01,0,19
2011-02-01,0,22
2011-03-01,0,24
2011-04-01,0,39
2011-05-01,0,18
2011-06-01,0,37
2011-07-01,0,56
2011-08-01,0,18
2011-09-01,0,17
2011-10-01,0,24
2011-11-01,0,41
2011-12-01,0,16
2012-01-01,0,22
2012-02-01,15,31
2012-03-01,15,24
2012-04-01,15,53
2012-05-01,14,38
2012-06-01,15,29
2012-07-01,29,29
2012-08-01,36,35
2012-09-01,14,52
2012-10-01,13,26
2012-11-01,13,26
2012-12-01,17,30
2013-01-01,24,30
2013-02-01,13,20
2013-03-01,17,27
2013-04-01,28,24
2013-05-01,19,34
2013-06-01,23,78
2013-07-01,23,69
2013-08-01,34,61
2013-09-01,22,41
2013-10-01,39,43
2013-11-01,22,60
2013-12-01,48,44
2014-01-01,34,41
2014-02-01,52,55
2014-03-01,27,70
2014-04-01,45,34
2014-05-01,49,35
2014-06-01,19,54
2014-07-01,49,53
2014-08-01,49,41
2014-09-01,86,54
2014-10-01,69,41
2014-11-01,84,56
2014-12-01,100,31
2015-01-01,58,45
2015-02-01,38,59
2015-03-01,64,45
2015-04-01,75,68
2015-05-01,57,38
2015-06-01,71,36
2015-07-01,61,38
2015-08-01,48,54
2015-09-01,49,74
2015-10-01,33,38
2015-11-01,57,54
2015-12-01,55,61
2016-01-01,37,46
2016-02-01,55,60
2016-03-01,70,70
2016-04-01,56,81
2016-05-01,76,54
2016-06-01,67,73
2016-07-01,65,59
2016-08-01,47,63
2016-09-01,68,96
2016-10-01,44,39
2016-11-01,76,47
2016-12-01,63,65
2017-01-01,82,64
