date,android file encryption,encrypted phone calls
2011-01-01,44,9
2011-02-01,43,10
2011-03-01,38,11
2011-04-01,50,18
2011-05-01,58,8
2011-06-01,51,17
2011-07-01,54,25
2011-08-01,32,8
2011-09-01,65,8
2011-10-01,39,11
2011-11-01,57,19
2011-12-01,41,7
2012-01-01,45,10
2012-02-01,46,14
2012-03-01,55,11
2012-04-01,48,24
2012-05-01,47,17
2012-06-01,62,13
2012-07-01,63,13
2012-08-01,41,16
2012-09-01,32,23
2012-10-01,49,12
2012-11-01,72,12
2012-12-01,45,14
2013-01-01,68,13
2013-02-01,59,9
2013-03-01,44,12
2013-04-01,66,11
2013-05-01,60,16
2013-06-01,60,36
2013-07-01,52,31
2013-08-01,69,28
2013-09-01,58,19
2013-10-01,50,19
2013-11-01,61,27
2013-12-01,55,20
2014-01-01,63,18
2014-02-01,45,25
2014-03-01,36,32
2014-04-01,76,16
2014-05-01,44,16
2014-06-01,52,24
2014-07-01,68,24
2014-08-01,85,19
2014-09-01,77,24
2014-10-01,54,19
2014-11-01,75,26
2014-12-01,66,14
2015-01-01,72,20
2015-02-01,75,27
2015-03-01,65,20
2015-04-01,53,31
2015-05-01,53,17
2015-06-01,66,16
2015-07-01,59,17
2015-08-01,72,24
2015-09-01,57,34
2015-10-01,60,17
2015-11-01,51,25
2015-12-01,53,28
2016-01-01,51,21
2016-02-01,70,27
2016-03-01,69,32
2016-04-01,70,37
2016-05-01,72,25
2016-06-01,75,33
2016-07-01,79,27
2016-08-01,100,29
2016-09-01,93,43
2016-10-01,63,18
2016-11-01,80,21
2016-12-01,71,30
2017-01-01,69,29
