date,encrypt phone calls,encrypted phone calls
2011-01-01,0,18
2011-02-01,19,17
2011-03-01,34,17
2011-04-01,37,37
2011-05-01,17,17
2011-06-01,18,17
2011-07-01,18,18
2011-08-01,25,17
2011-09-01,32,16
2011-10-01,15,15
2011-11-01,46,31
2011-12-01,15,15
2012-01-01,42,28
2012-02-01,22,29
2012-03-01,48,27
2012-04-01,57,58
2012-05-01,27,27
2012-06-01,41,28
2012-07-01,34,14
2012-08-01,27,27
2012-09-01,33,60
2012-10-01,30,24
2012-11-01,12,18
2012-12-01,14,25
2013-01-01,17,28
2013-02-01,43,25
2013-03-01,16,27
2013-04-01,17,22
2013-05-01,16,27
2013-06-01,100,72
2013-07-01,55,66
2013-08-01,54,54
2013-09-01,37,43
2013-10-01,35,40
2013-11-01,61,71
2013-12-01,26,41
2014-01-01,43,38
2014-02-01,26,47
2014-03-01,33,57
2014-04-01,39,44
2014-05-01,49,39
2014-06-01,27,38
2014-07-01,48,59
2014-08-01,48,37
2014-09-01,36,46
2014-10-01,29,44
2014-11-01,30,55
2014-12-01,10,34
2015-01-01,23,41
2015-02-01,30,54
2015-03-01,67,45
2015-04-01,37,55
2015-05-01,23,23
2015-06-01,28,37
2015-07-01,41,46
2015-08-01,40,45
2015-09-01,57,52
2015-10-01,63,33
2015-11-01,39,39
2015-12-01,39,61
2016-01-01,37,45
2016-02-01,24,49
2016-03-01,15,76
2016-04-01,75,79
2016-05-01,23,46
2016-06-01,28,52
2016-07-01,20,48
2016-08-01,27,66
2016-09-01,62,93
2016-10-01,37,29
2016-11-01,44,48
2016-12-01,44,56
2017-01-01,45,45
