date,iphone encryption app,encrypted phone calls
2011-01-01,59,10
2011-02-01,57,12
2011-03-01,65,14
2011-04-01,94,9
2011-05-01,51,9
2011-06-01,58,24
2011-07-01,80,38
2011-08-01,36,9
2011-09-01,66,9
2011-10-01,74,12
2011-11-01,58,21
2011-12-01,53,8
2012-01-01,49,8
2012-02-01,71,16
2012-03-01,41,7
2012-04-01,100,23
2012-05-01,43,22
2012-06-01,74,15
2012-07-01,55,18
2012-08-01,47,22
2012-09-01,36,25
2012-10-01,72,20
2012-11-01,53,13
2012-12-01,53,13
2013-01-01,57,12
2013-02-01,40,10
2013-03-01,56,12
2013-04-01,57,12
2013-05-01,44,20
2013-06-01,48,27
2013-07-01,56,38
2013-08-01,59,35
2013-09-01,51,23
2013-10-01,57,25
2013-11-01,64,30
2013-12-01,22,23
2014-01-01,41,18
2014-02-01,40,26
2014-03-01,36,38
2014-04-01,42,8
2014-05-01,40,19
2014-06-01,35,30
2014-07-01,40,20
2014-08-01,63,20
2014-09-01,55,30
2014-10-01,68,26
2014-11-01,48,32
2014-12-01,24,13
2015-01-01,37,22
2015-02-01,24,29
2015-03-01,42,17
2015-04-01,37,40
2015-05-01,22,22
2015-06-01,22,17
2015-07-01,39,20
2015-08-01,36,24
2015-09-01,47,40
2015-10-01,48,23
2015-11-01,37,32
2015-12-01,47,31
2016-01-01,46,24
2016-02-01,64,29
2016-03-01,65,35
2016-04-01,79,45
2016-05-01,31,31
2016-06-01,26,36
2016-07-01,35,32
2016-08-01,42,27
2016-09-01,40,50
2016-10-01,32,24
2016-11-01,36,20
2016-12-01,52,40
2017-01-01,51,32
