date,android marshmallow encryption,encrypted phone calls
2011-01-01,0,13
2011-02-01,0,14
2011-03-01,0,16
2011-04-01,0,26
2011-05-01,0,12
2011-06-01,0,25
2011-07-01,0,37
2011-08-01,0,12
2011-09-01,0,11
2011-10-01,0,16
2011-11-01,0,27
2011-12-01,0,11
2012-01-01,0,15
2012-02-01,0,20
2012-03-01,0,16
2012-04-01,0,35
2012-05-01,0,25
2012-06-01,0,19
2012-07-01,0,19
2012-08-01,0,24
2012-09-01,0,34
2012-10-01,0,17
2012-11-01,0,17
2012-12-01,0,20
2013-01-01,0,20
2013-02-01,0,13
2013-03-01,0,18
2013-04-01,0,16
2013-05-01,0,23
2013-06-01,0,52
2013-07-01,0,46
2013-08-01,0,41
2013-09-01,0,27
2013-10-01,0,28
2013-11-01,0,40
2013-12-01,0,29
2014-01-01,0,27
2014-02-01,0,37
2014-03-01,0,47
2014-04-01,0,23
2014-05-01,0,23
2014-06-01,0,36
2014-07-01,0,35
2014-08-01,0,28
2014-09-01,0,36
2014-10-01,0,27
2014-11-01,0,37
2014-12-01,0,21
2015-01-01,0,30
2015-02-01,0,40
2015-03-01,0,30
2015-04-01,0,46
2015-05-01,0,25
2015-06-01,0,24
2015-07-01,0,26
2015-08-01,6,36
2015-09-01,9,49
2015-10-01,33,26
2015-11-01,36,36
2015-12-01,31,41
2016-01-01,15,31
2016-02-01,75,40
2016-03-01,100,46
2016-04-01,56,54
2016-05-01,54,36
2016-06-01,56,48
2016-07-01,43,39
2016-08-01,35,42
2016-09-01,18,64
2016-10-01,29,26
2016-11-01,23,31
2016-12-01,28,43
2017-01-01,20,43
