date,what does encrypt sd card mean,encrypted phone calls
2011-01-01,0,20
2011-02-01,0,24
2011-03-01,0,28
2011-04-01,0,19
2011-05-01,0,19
2011-06-01,19,47
2011-07-01,18,76
2011-08-01,18,17
2011-09-01,0,17
2011-10-01,0,25
2011-11-01,0,42
2011-12-01,0,16
2012-01-01,0,15
2012-02-01,0,31
2012-03-01,0,15
2012-04-01,0,46
2012-05-01,0,43
2012-06-01,0,29
2012-07-01,0,37
2012-08-01,0,44
2012-09-01,14,50
2012-10-01,13,39
2012-11-01,13,26
2012-12-01,18,26
2013-01-01,24,24
2013-02-01,13,20
2013-03-01,12,23
2013-04-01,12,24
2013-05-01,17,41
2013-06-01,12,54
2013-07-01,23,77
2013-08-01,47,70
2013-09-01,17,46
2013-10-01,11,49
2013-11-01,11,61
2013-12-01,28,45
2014-01-01,31,36
2014-02-01,34,51
2014-03-01,31,76
2014-04-01,21,16
2014-05-01,21,37
2014-06-01,47,59
2014-07-01,34,40
2014-08-01,46,40
2014-09-01,38,61
2014-10-01,10,52
2014-11-01,21,64
2014-12-01,16,26
2015-01-01,29,44
2015-02-01,43,59
2015-03-01,24,34
2015-04-01,30,80
2015-05-01,24,44
2015-06-01,25,35
2015-07-01,29,39
2015-08-01,63,49
2015-09-01,66,80
2015-10-01,14,45
2015-11-01,14,65
2015-12-01,33,61
2016-01-01,48,48
2016-02-01,70,57
2016-03-01,37,70
2016-04-01,38,90
2016-05-01,29,62
2016-06-01,26,73
2016-07-01,34,65
2016-08-01,63,55
2016-09-01,50,100
2016-10-01,47,47
2016-11-01,48,40
2016-12-01,52,80
2017-01-01,30,65
