date,decrypt sd card android,encrypted phone calls
2011-01-01,0,20
2011-02-01,21,23
2011-03-01,19,25
2011-04-01,18,41
2011-05-01,18,19
2011-06-01,18,39
2011-07-01,18,58
2011-08-01,18,18
2011-09-01,17,18
2011-10-01,17,25
2011-11-01,26,43
2011-12-01,34,17
2012-01-01,16,23
2012-02-01,16,32
2012-03-01,30,25
2012-04-01,31,55
2012-05-01,15,39
2012-06-01,20,30
2012-07-01,15,30
2012-08-01,25,37
2012-09-01,73,54
2012-10-01,40,27
2012-11-01,23,27
2012-12-01,18,32
2013-01-01,12,31
2013-02-01,34,20
2013-03-01,28,28
2013-04-01,25,25
2013-05-01,44,36
2013-06-01,33,82
2013-07-01,18,72
2013-08-01,16,64
2013-09-01,31,43
2013-10-01,22,45
2013-11-01,28,62
2013-12-01,27,46
2014-01-01,21,42
2014-02-01,27,58
2014-03-01,21,73
2014-04-01,25,36
2014-05-01,36,36
2014-06-01,28,56
2014-07-01,35,55
2014-08-01,39,43
2014-09-01,60,56
2014-10-01,50,43
2014-11-01,40,59
2014-12-01,54,32
2015-01-01,37,47
2015-02-01,44,62
2015-03-01,47,47
2015-04-01,34,71
2015-05-01,63,40
2015-06-01,46,37
2015-07-01,27,40
2015-08-01,46,56
2015-09-01,26,77
2015-10-01,25,40
2015-11-01,38,57
2015-12-01,22,64
2016-01-01,36,48
2016-02-01,39,63
2016-03-01,25,73
2016-04-01,41,85
2016-05-01,54,57
2016-06-01,52,76
2016-07-01,53,62
2016-08-01,55,66
2016-09-01,57,100
2016-10-01,76,41
2016-11-01,60,49
2016-12-01,60,68
2017-01-01,49,67
