date,change Facebook privacy settings,change fb name,change fb privacy,Change Privacy Facebook,Changing facebook privacy,fb privacy settings,how to change facebook privacy settings,privacy on facebook,privacy settings facebook,Total
1/1/11,34,43,3,73,5,6,23,294,343,824
2/1/11,30,60,3,64,7,6,24,307,272,773
3/1/11,39,52,5,64,8,10,21,274,293,766
4/1/11,31,66,2,64,4,8,10,287,272,744
5/1/11,44,52,5,73,6,10,16,267,308,781
6/1/11,39,75,2,64,6,9,24,300,343,862
7/1/11,30,72,3,73,6,6,24,294,272,780
8/1/11,45,69,4,101,7,10,25,367,422,1050
9/1/11,117,83,14,182,11,21,72,614,715,1829
10/1/11,88,72,8,155,13,10,72,547,522,1487
11/1/11,88,69,4,146,6,13,57,494,443,1320
12/1/11,82,92,5,146,9,12,52,454,450,1302
1/1/12,68,86,8,137,15,14,43,447,458,1276
2/1/12,77,78,11,137,10,11,55,454,429,1262
3/1/12,62,72,7,119,14,15,44,434,336,1103
4/1/12,76,75,4,119,9,12,51,414,393,1153
5/1/12,77,83,5,137,6,15,44,420,386,1173
6/1/12,79,86,7,146,7,11,50,574,379,1339
7/1/12,71,103,10,128,5,10,43,367,350,1087
8/1/12,119,100,10,201,9,12,67,507,465,1490
9/1/12,154,109,10,264,10,23,100,640,658,1968
10/1/12,151,89,12,237,8,18,89,667,636,1907
11/1/12,113,92,10,191,11,13,72,534,550,1586
12/1/12,99,98,12,191,13,25,65,507,550,1560
1/1/13,105,95,10,164,11,21,56,480,493,1435
2/1/13,88,95,9,146,15,19,63,434,522,1391
3/1/13,93,95,11,164,17,17,51,474,608,1530
4/1/13,76,103,8,137,10,13,44,394,386,1171
5/1/13,74,98,10,128,11,15,52,394,386,1168
6/1/13,85,98,8,146,9,15,47,394,386,1188
7/1/13,93,109,14,164,15,13,55,447,472,1382
8/1/13,91,112,10,164,10,14,51,394,365,1211
9/1/13,68,120,12,155,16,17,49,420,386,1243
10/1/13,107,100,10,219,32,20,52,487,529,1556
11/1/13,77,103,12,146,10,13,44,354,322,1081
12/1/13,74,115,11,137,5,15,35,327,279,998
1/1/14,71,146,10,146,10,11,50,367,286,1097
2/1/14,59,135,8,128,8,13,36,360,265,1012
3/1/14,60,143,10,137,8,12,34,320,265,989
4/1/14,64,143,10,137,6,12,42,347,265,1026
5/1/14,64,175,15,137,7,15,33,347,279,1072
6/1/14,74,183,10,146,6,20,42,347,272,1100
7/1/14,65,180,11,128,7,14,38,340,279,1062
8/1/14,71,189,13,146,7,19,49,394,308,1196
9/1/14,59,192,13,128,8,13,38,374,258,1083
10/1/14,67,175,13,128,7,13,46,340,243,1032
11/1/14,60,180,10,128,10,13,35,334,243,1013
12/1/14,56,186,10,137,10,19,31,334,265,1048
1/1/15,71,195,15,264,29,21,38,434,279,1346
2/1/15,51,198,11,119,4,14,37,307,215,956
3/1/15,54,206,13,110,5,15,33,294,222,952
4/1/15,50,218,10,128,3,17,31,307,236,1000
5/1/15,54,223,14,137,8,13,34,280,215,978
6/1/15,60,240,15,128,7,15,40,294,215,1014
7/1/15,54,232,17,119,6,21,35,307,229,1020
8/1/15,57,226,12,128,6,13,31,300,236,1009
9/1/15,68,226,20,382,49,24,29,447,365,1610
10/1/15,45,209,11,137,10,14,30,300,222,978
11/1/15,51,189,11,119,6,9,32,274,200,891
12/1/15,48,240,14,110,5,12,36,274,179,918
1/1/16,54,240,12,119,6,13,34,274,179,931
2/1/16,50,215,12,101,4,8,35,294,179,898
3/1/16,44,223,13,101,6,13,27,294,186,907
4/1/16,50,220,12,119,4,10,29,267,179,890
5/1/16,51,218,14,101,4,11,30,274,179,882
6/1/16,57,240,15,237,35,17,36,340,229,1206
7/1/16,56,252,16,255,31,16,34,314,208,1182
8/1/16,54,246,12,119,5,13,34,280,172,935
9/1/16,48,223,19,119,10,18,32,327,208,1004
10/1/16,62,240,17,910,50,14,28,374,200,1895
11/1/16,51,246,13,110,6,16,32,287,179,940
12/1/16,44,272,17,110,4,19,29,274,172,941
1/1/17,53,286,17,128,7,16,27,294,186,1014
