date,stop following on instagram,how to unfollow on Instagram
2011-01-01,1,0
2011-02-01,0,0
2011-03-01,0,1
2011-04-01,1,0
2011-05-01,0,0
2011-06-01,0,1
2011-07-01,0,1
2011-08-01,1,1
2011-09-01,0,1
2011-10-01,0,2
2011-11-01,1,2
2011-12-01,1,3
2012-01-01,3,3
2012-02-01,2,2
2012-03-01,3,5
2012-04-01,8,13
2012-05-01,9,21
2012-06-01,11,22
2012-07-01,14,34
2012-08-01,12,33
2012-09-01,15,35
2012-10-01,17,36
2012-11-01,15,35
2012-12-01,19,44
2013-01-01,18,47
2013-02-01,17,51
2013-03-01,21,57
2013-04-01,21,57
2013-05-01,21,49
2013-06-01,21,46
2013-07-01,24,67
2013-08-01,23,61
2013-09-01,19,52
2013-10-01,19,43
2013-11-01,19,46
2013-12-01,17,51
2014-01-01,22,58
2014-02-01,22,48
2014-03-01,24,48
2014-04-01,21,59
2014-05-01,19,54
2014-06-01,23,59
2014-07-01,19,72
2014-08-01,20,69
2014-09-01,22,57
2014-10-01,20,60
2014-11-01,25,61
2014-12-01,19,75
2015-01-01,23,70
2015-02-01,23,61
2015-03-01,28,57
2015-04-01,22,64
2015-05-01,19,53
2015-06-01,24,69
2015-07-01,23,74
2015-08-01,24,70
2015-09-01,20,65
2015-10-01,22,59
2015-11-01,27,69
2015-12-01,26,72
2016-01-01,28,75
2016-02-01,23,73
2016-03-01,22,73
2016-04-01,19,77
2016-05-01,23,72
2016-06-01,29,91
2016-07-01,34,100
2016-08-01,30,91
2016-09-01,25,82
2016-10-01,23,87
2016-11-01,23,84
2016-12-01,19,85
2017-01-01,22,97
