date,uninstall computer programs
2011-01-01,81
2011-02-01,71
2011-03-01,55
2011-04-01,72
2011-05-01,66
2011-06-01,72
2011-07-01,63
2011-08-01,48
2011-09-01,67
2011-10-01,51
2011-11-01,47
2011-12-01,72
2012-01-01,67
2012-02-01,50
2012-03-01,57
2012-04-01,56
2012-05-01,49
2012-06-01,66
2012-07-01,80
2012-08-01,83
2012-09-01,76
2012-10-01,51
2012-11-01,63
2012-12-01,61
2013-01-01,69
2013-02-01,86
2013-03-01,66
2013-04-01,57
2013-05-01,73
2013-06-01,64
2013-07-01,86
2013-08-01,78
2013-09-01,68
2013-10-01,70
2013-11-01,70
2013-12-01,84
2014-01-01,92
2014-02-01,81
2014-03-01,74
2014-04-01,100
2014-05-01,92
2014-06-01,84
2014-07-01,85
2014-08-01,89
2014-09-01,73
2014-10-01,84
2014-11-01,78
2014-12-01,74
2015-01-01,76
2015-02-01,78
2015-03-01,73
2015-04-01,54
2015-05-01,60
2015-06-01,67
2015-07-01,66
2015-08-01,85
2015-09-01,62
2015-10-01,58
2015-11-01,56
2015-12-01,60
2016-01-01,63
2016-02-01,55
2016-03-01,52
2016-04-01,52
2016-05-01,58
2016-06-01,69
2016-07-01,56
2016-08-01,59
2016-09-01,57
2016-10-01,50
2016-11-01,49
2016-12-01,36
2017-01-01,52
