date,How do I delete youtube
2011-01-01,53
2011-02-01,60
2011-03-01,50
2011-04-01,50
2011-05-01,54
2011-06-01,75
2011-07-01,68
2011-08-01,81
2011-09-01,71
2011-10-01,74
2011-11-01,76
2011-12-01,100
2012-01-01,94
2012-02-01,82
2012-03-01,73
2012-04-01,75
2012-05-01,69
2012-06-01,84
2012-07-01,87
2012-08-01,88
2012-09-01,76
2012-10-01,84
2012-11-01,90
2012-12-01,91
2013-01-01,91
2013-02-01,88
2013-03-01,89
2013-04-01,83
2013-05-01,76
2013-06-01,85
2013-07-01,89
2013-08-01,89
2013-09-01,86
2013-10-01,78
2013-11-01,77
2013-12-01,78
2014-01-01,84
2014-02-01,70
2014-03-01,77
2014-04-01,66
2014-05-01,73
2014-06-01,63
2014-07-01,73
2014-08-01,81
2014-09-01,62
2014-10-01,63
2014-11-01,66
2014-12-01,55
2015-01-01,62
2015-02-01,59
2015-03-01,58
2015-04-01,55
2015-05-01,56
2015-06-01,56
2015-07-01,55
2015-08-01,59
2015-09-01,57
2015-10-01,49
2015-11-01,57
2015-12-01,64
2016-01-01,55
2016-02-01,48
2016-03-01,55
2016-04-01,50
2016-05-01,46
2016-06-01,43
2016-07-01,48
2016-08-01,50
2016-09-01,43
2016-10-01,41
2016-11-01,46
2016-12-01,49
2017-01-01,45
