date,uninstall youtube
2011-01-01,60
2011-02-01,61
2011-03-01,72
2011-04-01,62
2011-05-01,56
2011-06-01,65
2011-07-01,68
2011-08-01,74
2011-09-01,67
2011-10-01,67
2011-11-01,68
2011-12-01,68
2012-01-01,71
2012-02-01,58
2012-03-01,61
2012-04-01,63
2012-05-01,58
2012-06-01,72
2012-07-01,81
2012-08-01,86
2012-09-01,92
2012-10-01,71
2012-11-01,77
2012-12-01,83
2013-01-01,70
2013-02-01,74
2013-03-01,69
2013-04-01,77
2013-05-01,65
2013-06-01,78
2013-07-01,81
2013-08-01,74
2013-09-01,77
2013-10-01,86
2013-11-01,91
2013-12-01,96
2014-01-01,92
2014-02-01,87
2014-03-01,88
2014-04-01,85
2014-05-01,84
2014-06-01,82
2014-07-01,91
2014-08-01,95
2014-09-01,99
2014-10-01,95
2014-11-01,97
2014-12-01,99
2015-01-01,100
2015-02-01,96
2015-03-01,86
2015-04-01,77
2015-05-01,77
2015-06-01,82
2015-07-01,92
2015-08-01,93
2015-09-01,77
2015-10-01,83
2015-11-01,74
2015-12-01,86
2016-01-01,77
2016-02-01,70
2016-03-01,69
2016-04-01,65
2016-05-01,67
2016-06-01,69
2016-07-01,75
2016-08-01,73
2016-09-01,69
2016-10-01,78
2016-11-01,70
2016-12-01,71
2017-01-01,73
