date,best secure browser for android
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,47
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,39
2011-11-01,49
2011-12-01,58
2012-01-01,36
2012-02-01,35
2012-03-01,35
2012-04-01,35
2012-05-01,35
2012-06-01,35
2012-07-01,34
2012-08-01,34
2012-09-01,34
2012-10-01,31
2012-11-01,31
2012-12-01,47
2013-01-01,38
2013-02-01,28
2013-03-01,28
2013-04-01,28
2013-05-01,28
2013-06-01,100
2013-07-01,28
2013-08-01,28
2013-09-01,27
2013-10-01,39
2013-11-01,26
2013-12-01,53
2014-01-01,33
2014-02-01,45
2014-03-01,24
2014-04-01,25
2014-05-01,25
2014-06-01,28
2014-07-01,55
2014-08-01,27
2014-09-01,52
2014-10-01,50
2014-11-01,34
2014-12-01,24
2015-01-01,24
2015-02-01,34
2015-03-01,47
2015-04-01,48
2015-05-01,38
2015-06-01,47
2015-07-01,23
2015-08-01,46
2015-09-01,68
2015-10-01,28
2015-11-01,43
2015-12-01,44
2016-01-01,49
2016-02-01,35
2016-03-01,33
2016-04-01,47
2016-05-01,26
2016-06-01,47
2016-07-01,61
2016-08-01,53
2016-09-01,49
2016-10-01,37
2016-11-01,88
2016-12-01,69
2017-01-01,71
