date,remove friend snapchat
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,1
2012-08-01,1
2012-09-01,1
2012-10-01,1
2012-11-01,2
2012-12-01,4
2013-01-01,2
2013-02-01,3
2013-03-01,7
2013-04-01,8
2013-05-01,13
2013-06-01,8
2013-07-01,10
2013-08-01,8
2013-09-01,12
2013-10-01,9
2013-11-01,7
2013-12-01,13
2014-01-01,14
2014-02-01,16
2014-03-01,13
2014-04-01,11
2014-05-01,15
2014-06-01,15
2014-07-01,14
2014-08-01,10
2014-09-01,13
2014-10-01,12
2014-11-01,12
2014-12-01,13
2015-01-01,19
2015-02-01,8
2015-03-01,13
2015-04-01,22
2015-05-01,28
2015-06-01,51
2015-07-01,45
2015-08-01,50
2015-09-01,45
2015-10-01,54
2015-11-01,46
2015-12-01,57
2016-01-01,61
2016-02-01,57
2016-03-01,73
2016-04-01,86
2016-05-01,79
2016-06-01,86
2016-07-01,100
2016-08-01,91
2016-09-01,81
2016-10-01,80
2016-11-01,83
2016-12-01,84
2017-01-01,68
