date,facebook acquaintance list
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,12
2011-08-01,34
2011-09-01,55
2011-10-01,52
2011-11-01,27
2011-12-01,63
2012-01-01,43
2012-02-01,40
2012-03-01,52
2012-04-01,93
2012-05-01,50
2012-06-01,52
2012-07-01,56
2012-08-01,60
2012-09-01,69
2012-10-01,37
2012-11-01,59
2012-12-01,72
2013-01-01,57
2013-02-01,55
2013-03-01,79
2013-04-01,68
2013-05-01,67
2013-06-01,62
2013-07-01,64
2013-08-01,63
2013-09-01,62
2013-10-01,55
2013-11-01,56
2013-12-01,39
2014-01-01,56
2014-02-01,43
2014-03-01,61
2014-04-01,64
2014-05-01,57
2014-06-01,49
2014-07-01,40
2014-08-01,76
2014-09-01,52
2014-10-01,60
2014-11-01,51
2014-12-01,40
2015-01-01,72
2015-02-01,51
2015-03-01,90
2015-04-01,60
2015-05-01,74
2015-06-01,69
2015-07-01,81
2015-08-01,67
2015-09-01,45
2015-10-01,63
2015-11-01,50
2015-12-01,56
2016-01-01,71
2016-02-01,73
2016-03-01,66
2016-04-01,92
2016-05-01,58
2016-06-01,73
2016-07-01,60
2016-08-01,64
2016-09-01,93
2016-10-01,98
2016-11-01,83
2016-12-01,67
2017-01-01,100
