date,how to hide friends list on facebook mobile
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,7
2011-05-01,7
2011-06-01,7
2011-07-01,7
2011-08-01,10
2011-09-01,10
2011-10-01,18
2011-11-01,6
2011-12-01,6
2012-01-01,5
2012-02-01,6
2012-03-01,7
2012-04-01,11
2012-05-01,8
2012-06-01,11
2012-07-01,5
2012-08-01,11
2012-09-01,5
2012-10-01,9
2012-11-01,7
2012-12-01,8
2013-01-01,14
2013-02-01,10
2013-03-01,9
2013-04-01,14
2013-05-01,8
2013-06-01,9
2013-07-01,17
2013-08-01,27
2013-09-01,17
2013-10-01,24
2013-11-01,21
2013-12-01,21
2014-01-01,26
2014-02-01,27
2014-03-01,27
2014-04-01,13
2014-05-01,31
2014-06-01,18
2014-07-01,36
2014-08-01,37
2014-09-01,13
2014-10-01,10
2014-11-01,10
2014-12-01,14
2015-01-01,18
2015-02-01,22
2015-03-01,27
2015-04-01,27
2015-05-01,12
2015-06-01,26
2015-07-01,38
2015-08-01,34
2015-09-01,34
2015-10-01,37
2015-11-01,41
2015-12-01,36
2016-01-01,49
2016-02-01,29
2016-03-01,35
2016-04-01,61
2016-05-01,74
2016-06-01,71
2016-07-01,57
2016-08-01,40
2016-09-01,51
2016-10-01,63
2016-11-01,77
2016-12-01,79
2017-01-01,100
