date,top 9 friends on facebook
2011-01-01,0
2011-02-01,0
2011-03-01,13
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,12
2011-10-01,11
2011-11-01,11
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,10
2012-07-01,10
2012-08-01,10
2012-09-01,8
2012-10-01,8
2012-11-01,8
2012-12-01,8
2013-01-01,8
2013-02-01,16
2013-03-01,24
2013-04-01,89
2013-05-01,97
2013-06-01,73
2013-07-01,80
2013-08-01,84
2013-09-01,67
2013-10-01,100
2013-11-01,47
2013-12-01,25
2014-01-01,33
2014-02-01,38
2014-03-01,52
2014-04-01,43
2014-05-01,43
2014-06-01,29
2014-07-01,21
2014-08-01,21
2014-09-01,27
2014-10-01,37
2014-11-01,41
2014-12-01,19
2015-01-01,49
2015-02-01,38
2015-03-01,31
2015-04-01,31
2015-05-01,41
2015-06-01,31
2015-07-01,26
2015-08-01,67
2015-09-01,45
2015-10-01,24
2015-11-01,35
2015-12-01,40
2016-01-01,28
2016-02-01,26
2016-03-01,18
2016-04-01,25
2016-05-01,17
2016-06-01,23
2016-07-01,19
2016-08-01,30
2016-09-01,22
2016-10-01,14
2016-11-01,18
2016-12-01,32
2017-01-01,29
